text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to Wired Workshop.",001-intro,wired-eliv3,0.58,0.42,0.78
"In this session... we're going to explore connecting mobile devices.",002-session-intro,wired-eliv3,0.55,0.42,0.78
"Look around any classroom, office, or coffee shop. Almost everyone is carrying at least one mobile device.",003-look-around,wired-eliv3,0.55,0.40,0.78
"A phone. A tablet. Maybe even both.",004-devices,wired-eliv3,0.58,0.45,0.78
"And all of these devices need ways to connect back to computers, networks, and accessories.",005-need-connect,wired-eliv3,0.55,0.42,0.78
"We charge them. We sync data. We transfer files. We connect displays. We plug in headsets. We share internet.",006-what-we-do,wired-eliv3,0.58,0.45,0.78
"So understanding how mobile devices connect... both wired and wireless... is critical for troubleshooting and for passing your CompTIA A+ exam.",007-why-critical,wired-eliv3,0.58,0.42,0.78
"In this video, we'll look at... wired connections, USB types, Apple connectors, wireless options, Bluetooth, NFC, and hotspot and tethering.",008-overview,wired-eliv3,0.55,0.42,0.78
"Let's start with wired connectivity.",009-wired-start,wired-eliv3,0.58,0.45,0.78
"One of the most common ways to connect a mobile device is with USB... or the Universal Serial Bus.",010-usb-intro,wired-eliv3,0.55,0.40,0.78
"USB has been around for decades. And although it started as a simple way to connect keyboards and mice... today it does a lot more.",011-usb-history,wired-eliv3,0.55,0.40,0.78
"On mobile devices, USB is used for... charging, data transfer, device synchronization, backups, connecting to a PC, and sometimes even video output.",012-usb-uses,wired-eliv3,0.55,0.42,0.78
"So when you plug your phone into your laptop... it's not just charging.",013-not-just-charging,wired-eliv3,0.58,0.42,0.78
"You might also be copying photos, syncing music, or enabling debugging tools. USB does all of that over one cable.",014-usb-versatile,wired-eliv3,0.55,0.42,0.78
"Over the years... USB connectors have changed shapes.",015-connectors-changed,wired-eliv3,0.55,0.42,0.78
"Older mobile devices commonly used Mini USB or Micro USB.",016-mini-micro,wired-eliv3,0.55,0.42,0.78
"Mini USB showed up on early cameras and GPS units. Micro USB became extremely popular on older Android phones.",017-mini-micro-detail,wired-eliv3,0.55,0.40,0.78
"If you've ever struggled trying to flip the connector three times before it fits... that's Micro USB.",018-flip-joke,wired-eliv3,0.58,0.42,0.78
"These connectors worked well... but they had limitations. They were slower. They were fragile. And they only plugged in one direction.",019-limitations,wired-eliv3,0.55,0.42,0.78
"So manufacturers began moving to something better.",020-something-better,wired-eliv3,0.58,0.45,0.78
"Today... most modern devices use USB-C.",021-usbc-intro,wired-eliv3,0.58,0.45,0.78
"USB-C is quickly becoming the universal standard. It's small, reversible, and much more powerful.",022-usbc-standard,wired-eliv3,0.55,0.42,0.78
"You can plug it in either direction... which sounds simple, but makes everyday use much easier.",023-reversible,wired-eliv3,0.55,0.40,0.78
"Inside a USB-C connector are 24 pins. This allows it to carry... data, power, video, audio, and even networking.",024-24-pins,wired-eliv3,0.55,0.40,0.78
"All through one single port.",025-one-port,wired-eliv3,0.58,0.45,0.78
"That means the same cable can... charge your phone, transfer files, connect to a monitor, or dock into a laptop.",026-same-cable,wired-eliv3,0.55,0.42,0.78
"USB-C also supports much faster speeds compared to older USB versions.",027-faster-speeds,wired-eliv3,0.55,0.42,0.78
"So if a user complains that file transfers are slow... using an old cable could actually be the bottleneck.",028-old-cable,wired-eliv3,0.58,0.42,0.78
