text,filename,voice,exaggeration,cfg_weight,temperature
"Wi-Fi hacking is awesome. Actually, scratch that; it's terrifyingly accessible, which is precisely what makes it so fascinating.",001-intro-hook,wired-eliv3,0.58,0.40,0.80
"Take my Flipper Zero, for instance. I've rigged this thing up with a Wi-Fi devboard, and with just this hunk of plastic, I can technically boot any device off any 2.4 gigahertz network until the end of time.",002-flipper-zero-intro,wired-eliv3,0.58,0.40,0.70
"Technically, this is a deauthentication attack, but I prefer to think of it as a digital silencer for neighbors who blast terrible music on Bluetooth speakers.",003-deauth-explanation,wired-eliv3,0.60,0.45,0.75
"You don't even need the password to pull this off. Instead of cracking complex encryption, you're essentially impersonating the router and politely asking the device to leave, and the device just blindly obeys.",004-no-password-needed,wired-eliv3,0.58,0.40,0.80
"The mischief doesn't stop there. This gadget can spawn a deluge of bogus SSIDs. I can flood the local airwaves with dozens of fake network names, forcing you to hunt for your actual Wi-Fi in a chaotic list featuring FBI Surveillance Van, Free Virus, Loading, Skynet, and Yell for Password.",005-ssid-flooding,wired-eliv3,0.58,0.40,0.70
"Talk about finding a needle in a haystack. If someone wanted to be truly villainous, they could deploy an Evil Twin attack. This involves cloning a legitimate Wi-Fi access point, spinning up a fraudulent login page that mimics the real deal perfectly, and waiting for unsuspecting users to hand over their credentials while trying to check Instagram.",006-evil-twin-attack,wired-eliv3,0.60,0.45,0.75
"That concept genuinely unsettles me. The fear doesn't stem from the technology itself, but from the low barrier to entry. I'm serious—you can execute these attacks with a ten-dollar microcontroller you can grab from Amazon with next-day delivery.",007-low-barrier-warning,wired-eliv3,0.58,0.40,0.80
"So yeah, the capability is universal, but the understanding is rare. That gap in knowledge is exactly why people end up in handcuffs. But that won't happen to you. No subscriber of mine is going to prison for cybercrimes; we have standards here.",008-knowledge-gap,wired-eliv3,0.58,0.40,0.70
"If you are watching this, you're here to peek behind the curtain and see how the magic trick functions. So let's vault you ahead of ninety-five percent of the population and digest some networking basics without inducing a coma.",009-transition-to-basics,wired-eliv3,0.60,0.45,0.75
"Let's imagine you hopped online to look for cute kittens. Or, let's be honest, you were searching for how to download more RAM or why does my back hurt. First, you fire a request to your router. That request metamorphoses into a local packet containing a treasure trove of data, including two crucial identifiers: an IP address and a MAC address.",010-request-to-router,wired-eliv3,0.58,0.40,0.80
"A MAC address is a permanent identifier scorched into your network card during manufacturing. It resembles a string of hexadecimal gibberish. Think of it as a digital fingerprint. It serves as your identity within the local network, allowing the router to distinguish your laptop from your smart thermostat.",011-mac-address-explanation,wired-eliv3,0.58,0.40,0.70
"However, there is a catch: this identifier is strictly local. MAC addresses get stripped away the moment your traffic leaves the router. So, if your MAC address somehow leaks to someone outside your home, don't panic. Unless you are a high-profile journalist or have angered a state-sponsored hacking group, you are likely fine.",012-mac-address-limitations,wired-eliv3,0.60,0.45,0.75
"IP addresses, conversely, are where the situation gets volatile. IPs come in two flavors: public and private. Every gadget you hook up to the internet—your phone, Xbox, smart fridge, or that weird Wi-Fi-connected juicer—receives a private IP address. Your router uses this to locate the device within your home.",013-ip-addresses-intro,wired-eliv3,0.58,0.40,0.80
"With that private IP, the router knows exactly where to deliver all those unholy videos you watch. Private IPs and MAC addresses share similarities, but their functions are distinct.",014-private-ip-function,wired-eliv3,0.58,0.40,0.70
"Picture it this way. If we were in a massive house and I asked you to fetch the Red Bull from the attic, the MAC address represents the object itself: the Red Bull. The private IP address represents the coordinates: the attic.",015-mac-vs-ip-analogy-1,wired-eliv3,0.60,0.45,0.75
"But suppose we are on vacation in a different city, and I ask you to retrieve that same Red Bull from the attic. You would look at me like I've lost my mind because you don't know which house I'm referring to. That is where the Public IP enters the equation.",016-public-ip-intro,wired-eliv3,0.58,0.40,0.80
"Just as every file in Linux is treated as a file, every internet-connected household sits behind a unique Public IP address. That belongs to your router. Your router flaunts a public IP address to communicate with the outside world. This global identifier pinpoints your router's geographic location.",017-public-ip-explanation,wired-eliv3,0.58,0.40,0.70
"So, if you request youtube dot com to subscribe to my channel, the server knows the origin of the request and where to dispatch the confirmation data.",018-public-ip-example,wired-eliv3,0.60,0.45,0.75
"But remember, your router is far more than a box with blinking lights that radiates Wi-Fi. It acts as your fortress. It is the solitary gateway between your private digital sanctuary and the chaotic, predatory internet.",019-router-as-fortress,wired-eliv3,0.58,0.40,0.80
"Every byte of data entering or leaving your network must pass through this checkpoint. Think of it as airport security for data packets; without the proper documentation, that traffic isn't going anywhere.",020-router-checkpoint,wired-eliv3,0.58,0.40,0.70
"Inside this plastic chassis, a system called DHCP works overtime. This protocol automatically assigns a unique IP address to every device that joins the network. Imagine the misery of manually typing in IP addresses for every single piece of tech you own—your phone, laptop, watch, TV, console, toaster, and lightbulbs.",021-dhcp-intro,wired-eliv3,0.60,0.45,0.75
"We would never get anything done. DHCP manages that administrative nightmare so you don't have to.",022-dhcp-benefit,wired-eliv3,0.58,0.40,0.80
"Then we have subnets. These function like the neighborhoods of your local network, organizing devices to prevent traffic from descending into anarchy. That is why your home devices usually reside on addresses starting with 192 dot 168 or 10 dot 0.",023-subnets-explanation,wired-eliv3,0.58,0.40,0.70
"This segmentation keeps your guest Wi-Fi isolated from your dad's work printer, ensuring you don't accidentally print memes during his quarterly review.",024-subnet-isolation,wired-eliv3,0.60,0.45,0.75
"Your router also performs a magic trick called NAT, or Network Address Translation. Visualize a busy mailroom. You might have twenty gadgets in your house, but your internet provider only gives you a single public IP address.",025-nat-intro,wired-eliv3,0.58,0.40,0.80
"NAT takes all those private requests, stamps them with your one public IP, ships them out to Google, and when the reply comes back, it remembers exactly which device asked for what and routes the data to the correct screen. Without NAT, the internet's infrastructure would have imploded two decades ago.",026-nat-function,wired-eliv3,0.58,0.40,0.70
"We also can't forget DNS, the unsung hero of the web. It functions as the internet's phonebook, translating human-readable names like google dot com into the numerical IP addresses your computer actually understands.",027-dns-intro,wired-eliv3,0.60,0.45,0.75
"Without it, you would be forced to memorize long, nonsensical strings of numbers just to check your email. DNS stands as the sole barrier between you and total cognitive collapse.",028-dns-importance,wired-eliv3,0.58,0.40,0.80
"I know this terminology sounds dense, like I'm reading a dictionary at you, but this knowledge is vital. Anyone can obtain your IP address, and acquiring it is disturbingly simple. Private IPs are the easiest to grab; a quick command in the terminal reveals it instantly.",029-ip-vulnerability,wired-eliv3,0.58,0.40,0.70
"Your IP might be dynamic or static. A dynamic IP is assigned automatically upon connection and fluctuates over time. A static IP is manually configured and remains constant. But we face a monumental problem. We essentially exhausted our supply of IP addresses back in 2015.",030-ip-types-and-shortage,wired-eliv3,0.60,0.45,0.75
"The current system, IPv4, supports only about 4.3 billion combinations. That seemed infinite in the 1980s when the internet was populated by four academics in a basement, but today the human population is double that, and we have smart toothbrushes demanding connectivity.",031-ipv4-limitations,wired-eliv3,0.58,0.40,0.80
"To solve this shortage, we engineered a successor called IPv6. This beast boasts over 340 undecillion combinations. That number is so astronomically large it defies visualization. We could assign an IP address to every grain of sand on Earth and still have plenty to spare.",032-ipv6-intro,wired-eliv3,0.58,0.40,0.70
"IPv6 eliminates the need for NAT and includes built-in privacy extensions to reduce tracking. Unfortunately, upgrading global infrastructure is expensive, so many ISPs have been slow to adopt it, leaving us to patch together the old system with duct tape.",033-ipv6-adoption,wired-eliv3,0.60,0.45,0.75
"Many people stress about their Public IP address leaking. With the appropriate tools, malicious actors can perform port scanning or launch denial-of-service attacks. Sadly, exposing your public IP is trivial.",034-ip-leak-concern,wired-eliv3,0.58,0.40,0.80
"Services like Grabify or IP Logger generate disguised URLs. You might think you are clicking on a meme, but you are actually broadcasting your IP directly to a stranger's dashboard. Malware can also broadcast this information, though if your system is infected, a leaked IP is the least of your worries—they likely already have your banking credentials and passwords.",035-ip-leak-methods,wired-eliv3,0.58,0.40,0.70
"Peer-to-peer connections, like torrenting, also broadcast your IP to everyone in the swarm. You could employ a VPN to cloak it, but cost is a barrier for many. And always remember: if a VPN is free, you are the merchandise. They monetize your data to keep the lights on.",036-p2p-and-vpn,wired-eliv3,0.60,0.45,0.75
"My advice follows standard security hygiene: avoid peer-to-peer transfers on public networks, ignore suspicious links from random Discord users, don't download sketchy software, and maybe don't eat food off the floor.",037-security-advice,wired-eliv3,0.58,0.40,0.80
"But let's hypothesize that you woke up feeling reckless and your IP address got leaked. What happens? Honestly? You're probably fine. There is no need to fake your death or move to a bunker in the desert.",038-ip-leak-reality-check,wired-eliv3,0.58,0.40,0.70
"The worst-case scenario usually involves the attacker identifying your internet service provider and perhaps your city or region. On rare occasions, they might pinpoint a rough neighborhood. It might reveal which online services you use, but a solitary IP address rarely unmasks your full identity or physical street address.",039-ip-leak-limitations,wired-eliv3,0.60,0.45,0.75
"The real peril arises when a leaked IP combines with other vulnerabilities, such as open ports, default passwords, or unpatched software. If you left your router password as admin and your IP gets exposed, then you have a genuine crisis. But if you patch those holes, an IP address is merely a number.",040-combined-vulnerabilities,wired-eliv3,0.58,0.40,0.80
"So if a script kiddie sends you your IP to intimidate you, just congratulate them on knowing how to use a web browser and ask them to define a MAC address.",041-script-kiddie-response,wired-eliv3,0.58,0.40,0.70
"I hope this video expanded your brain a bit because the next one will be significantly more complex. We are going to abandon theory and actually use this Flipper Zero to capture a handshake. If that term means nothing to you, subscribe so you don't miss the explanation.",042-next-video-teaser,wired-eliv3,0.60,0.45,0.75
"And remember: don't hack your neighbors unless they steal your parking spot. I'm kidding—please don't get me sued.",043-outro,wired-eliv3,0.58,0.40,0.80
