text,filename,voice,exaggeration,cfg_weight,temperature
"Hello and welcome back to Wired Workshop! My name is Gemini, and in our last session, we mapped out the different types of networks, from the small LAN in your home to the globe-spanning internet. We established that the internet is the ultimate network of networks, a global highway system for digital information.",001-intro,wired-eliv3,0.60,0.40,0.8
"But that raises a critical question: how do we actually get our data onto that highway?",002-critical-question,wired-eliv3,0.60,0.40,0.8
"If your home or office network is a private neighborhood, what does the on-ramp to the information superhighway look like?",003-onramp-setup,wired-eliv3,0.60,0.40,0.8
"There isn’t just one type of on-ramp. Some are like quiet country roads, while others are like massive, multi-lane interchanges built for heavy commercial traffic.",004-onramp-analogy,wired-eliv3,0.60,0.40,0.8
"Today, we are exploring the diverse world of Internet Access Technologies.",005-topic-intro,wired-eliv3,0.62,0.38,0.8
"We'll break down the consumer technologies that connect homes and small offices—from the cable coming out of your wall to the satellite dish on your roof.",006-consumer-scope,wired-eliv3,0.60,0.40,0.8
"Then we’ll look at the high-performance options that large businesses rely on for their mission-critical connectivity.",007-business-scope,wired-eliv3,0.60,0.40,0.8
"Finally, we’ll discuss the converging network, which transformed how we think about data, voice, and video.",008-converging-teaser,wired-eliv3,0.60,0.40,0.8
"An Overview of Internet Access",009-section-overview-title,wired-eliv3,0.62,0.38,0.8
"Connecting you to the internet is the job of an Internet Service Provider, or ISP—companies like Comcast, AT&T, and Verizon around the world.",010-isp-role,wired-eliv3,0.60,0.40,0.8
"Think of ISPs as the civil engineers that build and maintain the on-ramps to the internet highway. You pay a fee; they provide a working connection.",011-isp-analogy,wired-eliv3,0.60,0.40,0.8
"Access technologies fall into broad categories: reused infrastructure like Cable TV and DSL, purpose-built Fiber-to-the-Home, wireless like Cellular and Satellite, and premium Dedicated Leased Lines for enterprises.",012-access-categories,wired-eliv3,0.60,0.40,0.8
"Home and Small Office Internet Connections",013-home-section-title,wired-eliv3,0.62,0.38,0.8
"Broadband Cable is one of the most popular options. It uses the same coaxial cable that delivers TV service, carrying data on separate frequencies.",014-cable-intro,wired-eliv3,0.60,0.40,0.8
"Advantage: the physical network already exists in millions of homes, enabling widespread availability and strong downstream throughput.",015-cable-pros,wired-eliv3,0.60,0.40,0.8
"Tradeoff: neighborhood bandwidth is shared. During peak hours, speeds can drop when many households are streaming at once.",016-cable-cons,wired-eliv3,0.60,0.40,0.8
"DSL, or Digital Subscriber Line, uses legacy copper telephone lines at frequencies above human voice, so you can use the phone and internet simultaneously.",017-dsl-intro,wired-eliv3,0.60,0.40,0.8
"DSL’s limitation is distance: performance degrades the farther you are from the telephone company’s central office.",018-dsl-cons,wired-eliv3,0.60,0.40,0.8
"Fiber-to-the-Home (FTTH) runs a fiber-optic line directly to your house, transmitting data as pulses of light for very high and often symmetrical speeds.",019-ftth-intro,wired-eliv3,0.60,0.40,0.8
"FTTH is incredibly fast and stable, with equal upload and download often available—ideal for video calls and uploading large files.",020-ftth-pros,wired-eliv3,0.60,0.40,0.8
"Downside: fiber build-outs require new infrastructure, so availability still varies by region.",021-ftth-cons,wired-eliv3,0.60,0.40,0.8
"Cellular internet—4G LTE and 5G—delivers flexible access through mobile networks, perfect where running cables is difficult or for people on the go.",022-cellular-intro,wired-eliv3,0.60,0.40,0.8
"Cellular caveats: data caps, variable signal strength, and tower congestion can impact performance.",023-cellular-cons,wired-eliv3,0.60,0.40,0.8
"Satellite internet reaches the most remote locations. A dish at your home communicates with satellites orbiting the Earth.",024-satellite-intro,wired-eliv3,0.60,0.40,0.8
"Satellite challenges include latency due to long distances and weather sensitivity, which can impact gaming and real-time calls.",025-satellite-cons,wired-eliv3,0.60,0.40,0.8
"Business Internet Connections",026-business-section-title,wired-eliv3,0.62,0.38,0.8
"For businesses, internet connectivity is a critical utility. Reliability and guarantees matter far more than for a typical home user.",027-biz-priorities,wired-eliv3,0.60,0.40,0.8
"Dedicated Leased Lines provide private, point-to-point circuits straight to the ISP, not shared with others, with SLAs and symmetrical speeds.",028-leased-line,wired-eliv3,0.60,0.40,0.8
"A leased line is like having your own private highway lane—always open, monitored, and guaranteed—at a higher cost than consumer-grade plans.",029-leased-line-analogy,wired-eliv3,0.60,0.40,0.8
"Some businesses use enhanced Cable or DSL tiers with higher speeds, priority handling, static IPs, and better support.",030-biz-enhanced,wired-eliv3,0.60,0.40,0.8
"The Converging Network: One Network to Rule Them All",031-converging-section-title,wired-eliv3,0.62,0.38,0.8
"Historically, we had separate networks: circuit-switched telephone for voice, broadcast for TV, and data networks for computers.",032-converging-history,wired-eliv3,0.60,0.40,0.8
"Convergence shifts all of these onto one IP network. Voice becomes VoIP packets, TV becomes streaming packets, and data continues as packets.",033-converging-definition,wired-eliv3,0.60,0.40,0.8
"Benefits include lower costs from unified infrastructure and innovation like modern video conferencing, where voice, video, and data flow together.",034-converging-benefits,wired-eliv3,0.60,0.40,0.8
"Recap: Consumers have Cable, DSL, FTTH, Cellular, and Satellite—each with tradeoffs in cost, speed, and availability.",035-recap-consumer,wired-eliv3,0.60,0.40,0.8
"Enterprises often choose Dedicated Leased Lines for guaranteed performance and uptime, or enhanced business tiers.",036-recap-business,wired-eliv3,0.60,0.40,0.8
"Underpinning everything is the converged IP network that now carries our voice, video, and data.",037-recap-converged,wired-eliv3,0.60,0.40,0.8
"You now understand the diverse on-ramps that connect private networks to the global information superhighway.",038-takeaway,wired-eliv3,0.60,0.40,0.8
"Thanks for joining me today at Wired Workshop. If this helped you understand how we connect to the internet, hit like and subscribe. Questions? Drop them below. Until next time, keep learning!",039-outro,wired-eliv3,0.60,0.40,0.8


