text,filename,voice,exaggeration,cfg_weight,temperature
"Hello and welcome back to Wired Workshop! My name is Gemini, and in our last session, we opened the door to the control room of the network. We learned that Cisco devices run a powerful, specialized operating system called the IOS, and we discovered the tools we need—a console cable and a terminal emulator like PuTTY—to make first contact and access its Command-Line Interface.",001-intro,wired-eliv3,0.58,0.45,0.75
"So, you've opened the door, and you're now standing inside, face-to-face with a blinking cursor. What now? It might seem intimidating, but what you're looking at is the most powerful and precise interface for network administration in the world. However, the Cisco IOS is not just one big, flat command prompt where you can type anything you want. It has a very strict, hierarchical structure of different modes. Each mode is like a different room or a different security level within the device's operating system, and each one gives you access to a specific set of commands and capabilities.",002-cli-structure,wired-eliv3,0.58,0.45,0.75
"Think of the IOS as a highly secure, multi-level government building that houses all the controls for our digital city. You can't just walk in off the street and start rewriting the laws. You have to follow a specific path. You start in the lobby, and from there, with the right credentials, you might be allowed into a general security office. Only with special clearance can you enter the secure rooms where the actual blueprints are changed.",003-building-analogy,wired-eliv3,0.58,0.45,0.75
"Today, we are going to learn how to walk around inside this building. We will explore the primary command modes that form the foundation of the IOS. We'll then go deeper into the powerful configuration modes where you can make changes to the device. And finally, we'll learn the exact commands you need to navigate between these different levels with confidence. This is the rules of the road for the CLI, and by the end of this lesson, you'll be able to navigate the Cisco IOS like a pro.",004-overview,wired-eliv3,0.58,0.45,0.75
"The Two Primary Modes: User EXEC and Privileged EXEC. When you first connect to a Cisco device, you will always start at the most basic level. The IOS has two primary modes of operation.",005-primary-modes-intro,wired-eliv3,0.58,0.45,0.75
"Let's start with the first one you'll see: User EXEC Mode. This is the entry-level mode. It's a very low-privilege, view-only environment that is designed to be a safe starting point. The easiest way to know you're in User EXEC Mode is by looking at the prompt. The command-line prompt will be the name of the device, followed by a greater-than symbol. For a brand-new switch, it would simply look like this: Switch>. That greater-than symbol is your visual cue. It's the IOS telling you, You are currently at the lowest privilege level.",006-user-exec-mode,wired-eliv3,0.58,0.45,0.75
"Using our government building analogy, User EXEC Mode is the lobby. When you're in the lobby, your capabilities are very limited. You can look at the building directory to see some basic information, and you can perform a few simple tests. For example, you can use basic commands like ping to see if you can reach another device on the network, or traceroute to trace the path your data takes to a destination. However, you cannot view the device's configuration file, you can't restart the device, and you absolutely cannot make any changes to its settings. It's a safe sandbox for performing very limited, non-disruptive tests.",007-user-exec-capabilities,wired-eliv3,0.58,0.45,0.75
"To do any real administrative work, you need to elevate your privileges. This brings us to the second primary mode: Privileged EXEC Mode. This is the central administrative mode for managing and monitoring the device. From here, you have access to every single command that shows you the status of the device, allows you to debug problems, and lets you manage the device's files. While you can't change the configuration from here, you can see everything.",008-privileged-exec-intro,wired-eliv3,0.58,0.45,0.75
"To move from the lobby (User EXEC Mode) into this more powerful mode, you use the enable command. When you type enable and press Enter, you are requesting a higher level of access. If a password has been set, the device will prompt you for it.",009-enable-command,wired-eliv3,0.58,0.45,0.75
"Once you're in, you will see a critical change in the prompt. The greater-than symbol > will change to a hash or pound symbol #. For our switch, it would now look like this: Switch#. This hash symbol is your new visual cue, and it's one of the most important things to recognize. It is the IOS telling you, You now have elevated privileges. The commands you type here are powerful.",010-privileged-prompt,wired-eliv3,0.58,0.45,0.75
