text,filename,voice,exaggeration,cfg_weight,temperature
"Two jaguars.",001-intro,other-news,0.60,0.44,0.82
"Two shadows moving silently through thick forest undergrowth.",002-shadows,other-news,0.58,0.42,0.82
"They are not running. They don't need to.",003-no-rush,other-news,0.58,0.44,0.82
"Everything around them already belongs to them.",004-theirs,other-news,0.60,0.42,0.82
"These are Jaguar... the most powerful predators in the Americas.",005-powerful,other-news,0.62,0.40,0.82
"Stocky. Heavy. Built like muscle wrapped in fur.",006-built,other-news,0.60,0.44,0.82
"Each one weighs over two hundred pounds... with thick forearms and shoulders designed for explosive bursts of violence.",007-weight,other-news,0.60,0.42,0.82
"They don't chase prey across miles. They ambush. They strike once. And the fight ends.",008-ambush,other-news,0.62,0.42,0.82
"A jaguar's bite is legendary.",009-bite,other-news,0.62,0.44,0.82
"Not a suffocating throat hold like other big cats. A crushing bite.",010-crushing,other-news,0.60,0.42,0.82
"Strong enough to pierce skulls and break bone.",011-skulls,other-news,0.62,0.42,0.82
"If a jaguar grabs you cleanly... you don't get a second chance.",012-no-chance,other-news,0.62,0.40,0.82
"But tonight... they're not alone at the top of the food chain.",013-not-alone,other-news,0.60,0.42,0.82
"Because watching from the treeline... is a pack of Timber wolf.",014-wolves,other-news,0.62,0.40,0.82
"Lean shapes. Long legs. Cold eyes.",015-lean,other-news,0.58,0.44,0.82
"Individually... each wolf is half the size of a jaguar. Eighty... maybe a hundred pounds.",016-individual,other-news,0.58,0.42,0.82
"On their own... they would never challenge a cat like this.",017-never-alone,other-news,0.60,0.42,0.82
"But wolves don't fight alone. They hunt as one mind.",018-one-mind,other-news,0.62,0.42,0.82
"Six. Seven. Maybe nine of them.",019-count,other-news,0.58,0.44,0.82
"Not tanks. Not powerhouses. But built for something far more dangerous.",020-endurance-intro,other-news,0.60,0.42,0.82
"Endurance.",021-endurance,other-news,0.62,0.44,0.82
"They can run for miles without slowing. They rotate attackers. They distract. They harass. They exhaust.",022-rotate,other-news,0.60,0.42,0.82
