text,filename,voice,exaggeration,cfg_weight,temperature
"You think you're tired? You think you've given everything you've got? You haven't even scratched the surface.",001-tired,tommy-paradise,0.45,0.50,0.80
"Most people operate at about forty percent of their capacity... and then they quit. They tap out. They tell themselves they're done.",002-forty-percent,tommy-paradise,0.45,0.50,0.80
"But you're not done. Your mind is lying to you. It's trying to protect you from the pain... from the suffering... from the growth.",003-not-done,tommy-paradise,0.45,0.50,0.80
"Who's gonna carry the boats?",004-carry-boats,tommy-paradise,0.45,0.50,0.80
"Who's gonna carry the logs?",005-carry-logs,tommy-paradise,0.45,0.50,0.80
"That's the question you need to ask yourself every single morning when your alarm goes off and your body is screaming at you to stay in bed.",006-every-morning,tommy-paradise,0.45,0.50,0.80
"Nobody is coming to save you. Nobody is coming to do the work for you. It's just you... against you.",007-nobody-coming,tommy-paradise,0.45,0.50,0.80
"Get comfortable being uncomfortable. That's where the magic happens. That's where you find out who you really are.",008-uncomfortable,tommy-paradise,0.45,0.50,0.80
"They don't know me, son. They don't know what I've been through. They don't know what it took to get here.",009-dont-know-me,tommy-paradise,0.45,0.50,0.80
"So when life puts that weight on your back... when everything is falling apart... you look at yourself in that mirror and you say... stay hard.",010-stay-hard,tommy-paradise,0.45,0.50,0.80
"Stay hard.",011-stay-hard-outro,tommy-paradise,0.45,0.50,0.80
