text,filename,voice,exaggeration,cfg_weight,temperature
"If you ask most people to name the world's elite special forces, they'll say the Navy SEALs… Delta Force… maybe the SAS.",001-intro,tinytales-oldman,0.55,0.60,0.8
"But there's another unit that quietly operates at the same level — and many NATO operators will tell you they're just as lethal.",002-another-unit,tinytales-oldman,0.55,0.60,0.8
"Poland's GROM.",003-grom,tinytales-oldman,0.55,0.60,0.8
"The name GROM means thunderbolt in Polish.",004-meaning,tinytales-oldman,0.55,0.60,0.8
"Fast. Violent. Precise.",005-fast-violent,tinytales-oldman,0.55,0.60,0.8
"And honestly, it fits perfectly.",006-fits,tinytales-oldman,0.55,0.60,0.8
"GROM was created in 1990, right after the Cold War, when Poland was breaking away from the Soviet sphere and rebuilding its military to work with the West.",007-creation,tinytales-oldman,0.55,0.60,0.8
"At the time, Poland didn't have a true counter-terrorism or hostage rescue force that could deploy internationally.",008-no-force,tinytales-oldman,0.55,0.60,0.8
"So the government decided to build one from scratch — not based on old Warsaw Pact doctrine — but modeled after the very best.",009-build-from-scratch,tinytales-oldman,0.55,0.60,0.8
"They studied the US Navy SEALs.",010-studied-seals,tinytales-oldman,0.55,0.60,0.8
"They trained with Delta Force.",011-trained-delta,tinytales-oldman,0.55,0.60,0.8
"They learned from the British SAS.",012-learned-sas,tinytales-oldman,0.55,0.60,0.8
"And instead of copying halfway… they went all in.",013-all-in,tinytales-oldman,0.55,0.60,0.8
"From day one, GROM was designed to be a Tier-1 special mission unit.",014-tier1,tinytales-oldman,0.55,0.60,0.8
"Not conventional commandos. Not just infantry.",015-not-conventional,tinytales-oldman,0.55,0.60,0.8
"But surgical problem-solvers.",016-surgical,tinytales-oldman,0.55,0.60,0.8
"The kind of unit you send when failure isn't acceptable.",017-failure-unacceptable,tinytales-oldman,0.55,0.60,0.8
"Getting into GROM is brutal.",018-selection-brutal,tinytales-oldman,0.55,0.60,0.8
"Selection isn't just about fitness.",019-not-just-fitness,tinytales-oldman,0.55,0.60,0.8
"It's psychological warfare.",020-psych-warfare,tinytales-oldman,0.55,0.60,0.8
"Candidates are isolated.",021-isolated,tinytales-oldman,0.55,0.60,0.8
"They're sleep deprived.",022-sleep-deprived,tinytales-oldman,0.55,0.60,0.8
"They don't know where they're going or how long they'll be out.",023-dont-know,tinytales-oldman,0.55,0.60,0.8
"At one point, they're forced to navigate mountains alone for over 40 kilometers, often at night, exhausted and hungry.",024-40km,tinytales-oldman,0.55,0.60,0.8
"No cheering teammates. No motivation speeches.",025-no-cheering,tinytales-oldman,0.55,0.60,0.8
"Just you and your mind.",026-you-and-mind,tinytales-oldman,0.55,0.60,0.8
"Because GROM doesn't want people who are strong when things go right.",027-not-when-right,tinytales-oldman,0.55,0.60,0.8
"They want operators who function when everything goes wrong.",028-when-wrong,tinytales-oldman,0.55,0.60,0.8
"Those who pass train across everything — urban counter-terrorism, hostage rescue, sniping, breaching, combat diving, maritime boarding, medical training.",029-train-everything,tinytales-oldman,0.55,0.60,0.8
"Every operator is expected to be more than a shooter.",030-more-than-shooter,tinytales-oldman,0.55,0.60,0.8
"They're medics. Explosives experts. Communications specialists. Problem solvers.",031-medics-experts,tinytales-oldman,0.55,0.60,0.8
"Small teams. Maximum capability.",032-small-teams,tinytales-oldman,0.55,0.60,0.8
"And that philosophy shows up in their operations.",033-philosophy,tinytales-oldman,0.55,0.60,0.8
"One of their first real-world missions was Haiti in the 1990s, protecting diplomats and stabilizing a chaotic environment.",034-haiti,tinytales-oldman,0.55,0.60,0.8
"It proved they could deploy globally.",035-deploy-globally,tinytales-oldman,0.55,0.60,0.8
"But what really put GROM on the map happened in Iraq.",036-iraq,tinytales-oldman,0.55,0.60,0.8
"In 2003, during the opening hours of the war, coalition planners were terrified Saddam's forces would destroy offshore oil terminals and cause an environmental and economic disaster.",037-oil-terminals,tinytales-oldman,0.55,0.60,0.8
"So a joint force of US SEALs and GROM launched night assaults on the platforms.",038-joint-force,tinytales-oldman,0.55,0.60,0.8
"GROM secured one of the main terminals.",039-secured-terminal,tinytales-oldman,0.55,0.60,0.8
"Fast. Silent.",040-fast-silent,tinytales-oldman,0.55,0.60,0.8
"No firefight. No explosions. No sabotage.",041-no-firefight,tinytales-oldman,0.55,0.60,0.8
"Over thirty enemy captured.",042-30-captured,tinytales-oldman,0.55,0.60,0.8
"And not a single shot fired.",043-no-shots,tinytales-oldman,0.55,0.60,0.8
"That's peak special operations — winning without chaos.",044-peak-ops,tinytales-oldman,0.55,0.60,0.8
"Later in Iraq, they helped seize dams that could have flooded entire cities if destroyed.",045-dams,tinytales-oldman,0.55,0.60,0.8
"In the Balkans, they took part in operations that captured war criminals wanted by international courts.",046-balkans,tinytales-oldman,0.55,0.60,0.8
"In Afghanistan, they ran high-risk raids and hostage recovery missions.",047-afghanistan,tinytales-oldman,0.55,0.60,0.8
"But like every real special forces unit… it hasn't all been clean victories.",048-not-clean,tinytales-oldman,0.55,0.60,0.8
"GROM has lost operators in combat.",049-lost-operators,tinytales-oldman,0.55,0.60,0.8
"They've faced political turmoil back home.",050-political,tinytales-oldman,0.55,0.60,0.8
"Funding cuts. Leadership shakeups.",051-funding,tinytales-oldman,0.55,0.60,0.8
"And controversy tied to intelligence operations happening on Polish soil.",052-controversy,tinytales-oldman,0.55,0.60,0.8
"The kind of stuff that doesn't show up in movies but absolutely affects real-world units.",053-real-world,tinytales-oldman,0.55,0.60,0.8
"And honestly… that's part of what makes them legit.",054-makes-legit,tinytales-oldman,0.55,0.60,0.8
"No myth. No propaganda machine.",055-no-myth,tinytales-oldman,0.55,0.60,0.8
"Just professionals doing hard jobs quietly.",056-professionals,tinytales-oldman,0.55,0.60,0.8
"So what makes GROM stand out?",057-what-stands-out,tinytales-oldman,0.55,0.60,0.8
"It's not flashy gear. It's not huge numbers.",058-not-gear,tinytales-oldman,0.55,0.60,0.8
"It's culture.",059-culture,tinytales-oldman,0.55,0.60,0.8
"They operate small.",060-operate-small,tinytales-oldman,0.55,0.60,0.8
"They train brutally.",061-train-brutally,tinytales-oldman,0.55,0.60,0.8
"They emphasize independence and thinking under pressure.",062-independence,tinytales-oldman,0.55,0.60,0.8
"And they integrate seamlessly with the best NATO units on earth.",063-nato-integration,tinytales-oldman,0.55,0.60,0.8
"When SEALs, SAS, and Delta teams say, Yeah, those guys are solid — that's about the highest compliment you can get.",064-highest-compliment,tinytales-oldman,0.55,0.60,0.8
"GROM doesn't chase fame.",065-no-fame,tinytales-oldman,0.55,0.60,0.8
"Most people will never hear about their missions.",066-never-hear,tinytales-oldman,0.55,0.60,0.8
"And that's exactly how they prefer it.",067-prefer-it,tinytales-oldman,0.55,0.60,0.8
"Because for them, success isn't headlines.",068-success-not-headlines,tinytales-oldman,0.55,0.60,0.8
"It's coming home without anyone knowing they were ever there.",069-coming-home,tinytales-oldman,0.55,0.60,0.8
"Fast. Precise. Thunderbolt.",070-fast-precise,tinytales-oldman,0.55,0.60,0.8
"That's GROM.",071-outro,tinytales-oldman,0.55,0.60,0.8
