text,voice,filename
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",eli-neutral,test-eli-neutral
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",eli-funny,test-eli-funny
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",eli-question,test-eli-question
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",wired-eliv3,test-wired-eliv3
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",tinytales-female,test-tinytales-female
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",tinytales-female2,test-tinytales-female2
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",tinytales-oldman,test-tinytales-oldman
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",other-man1,test-other-man1
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",other-man2,test-other-man2
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",other-news,test-other-news
"This is a one minute sample to help you compare different voices across the channel. We will read a short, engaging passage with a balanced pace and clear articulation. Imagine welcoming new viewers, explaining what your channel is about, and inviting them to subscribe. The goal here is consistency, so each voice speaks the same lines at similar energy levels. As you listen, pay attention to tone, warmth, and clarity. Notice how the pacing feels over longer sentences and how pauses land between ideas. If a voice feels too fast or too flat, we can adjust exaggeration and guidance to tune the style. Finally, think about where each voice fits best: news style updates, tutorials, storytelling, or promos. Thanks for helping evaluate these options. Let us know which voice you like most and why, so we can dial it in for future videos.",wired-businessgirl,test-wired-businessgirl
