text,filename,voice,exaggeration,cfg_weight,temperature
"Two jaguars.",001-intro,other-screen-narrator,0.60,0.44,0.82
"Two shadows moving silently through thick forest undergrowth.",002-shadows,other-screen-narrator,0.58,0.42,0.82
"They are not running. They don't need to.",003-no-rush,other-screen-narrator,0.58,0.44,0.82
"Everything around them already belongs to them.",004-theirs,other-screen-narrator,0.60,0.42,0.82
"These are Jaguar... the most powerful predators in the Americas.",005-powerful,other-screen-narrator,0.62,0.40,0.82
"Stocky. Heavy. Built like muscle wrapped in fur.",006-built,other-screen-narrator,0.60,0.44,0.82
"Each one weighs over two hundred pounds... with thick forearms and shoulders designed for explosive bursts of violence.",007-weight,other-screen-narrator,0.60,0.42,0.82
"They don't chase prey across miles. They ambush. They strike once. And the fight ends.",008-ambush,other-screen-narrator,0.62,0.42,0.82
"A jaguar's bite is legendary.",009-bite,other-screen-narrator,0.62,0.44,0.82
"Not a suffocating throat hold like other big cats. A crushing bite.",010-crushing,other-screen-narrator,0.60,0.42,0.82
"Strong enough to pierce skulls and break bone.",011-skulls,other-screen-narrator,0.62,0.42,0.82
"If a jaguar grabs you cleanly... you don't get a second chance.",012-no-chance,other-screen-narrator,0.62,0.40,0.82
"But tonight... they're not alone at the top of the food chain.",013-not-alone,other-screen-narrator,0.60,0.42,0.82
"Because watching from the treeline... is a pack of Timber wolf.",014-wolves,other-screen-narrator,0.62,0.40,0.82
"Lean shapes. Long legs. Cold eyes.",015-lean,other-screen-narrator,0.58,0.44,0.82
"Individually... each wolf is half the size of a jaguar. Eighty... maybe a hundred pounds.",016-individual,other-screen-narrator,0.58,0.42,0.82
"On their own... they would never challenge a cat like this.",017-never-alone,other-screen-narrator,0.60,0.42,0.82
"But wolves don't fight alone. They hunt as one mind.",018-one-mind,other-screen-narrator,0.62,0.42,0.82
"Six. Seven. Maybe nine of them.",019-count,other-screen-narrator,0.58,0.44,0.82
"Not tanks. Not powerhouses. But built for something far more dangerous.",020-endurance-intro,other-screen-narrator,0.60,0.42,0.82
"Endurance.",021-endurance,other-screen-narrator,0.62,0.44,0.82
"They can run for miles without slowing. They rotate attackers. They distract. They harass. They exhaust.",022-rotate,other-screen-narrator,0.60,0.42,0.82
"They don't need one perfect kill. They just need their enemy to get tired.",023-tired,other-screen-narrator,0.62,0.40,0.82
"And that's something even a jaguar can't avoid.",024-cant-avoid,other-screen-narrator,0.62,0.42,0.82
"The wolves spread out first. No rush. No charge.",025-spread,other-screen-narrator,0.58,0.42,0.82
"They form a wide circle... moving like drifting smoke between the trees.",026-circle,other-screen-narrator,0.58,0.40,0.82
"The jaguars notice immediately.",027-notice,other-screen-narrator,0.60,0.44,0.82
"Both cats stop walking. Their heads lift. Ears forward. Tails low.",028-stop,other-screen-narrator,0.58,0.42,0.82
"They don't panic. They don't retreat.",029-no-panic,other-screen-narrator,0.60,0.42,0.82
"Instead... they stand back to back.",030-back-to-back,other-screen-narrator,0.62,0.40,0.82
"Two predators. Covering every angle.",031-cover,other-screen-narrator,0.60,0.42,0.82
"The wolves test the perimeter.",032-test,other-screen-narrator,0.58,0.44,0.82
"One darts forward, then back. Another moves behind. A third slips closer through brush.",033-darts,other-screen-narrator,0.60,0.42,0.82
"They're looking for one thing. Separation.",034-separation,other-screen-narrator,0.62,0.40,0.82
"Because together... the jaguars are terrifying.",035-terrifying,other-screen-narrator,0.62,0.42,0.82
"Four hundred pounds of muscle and claws. Two sets of jaws that can crush bone.",036-force,other-screen-narrator,0.60,0.42,0.82
"Any wolf that gets too close could die instantly.",037-die,other-screen-narrator,0.62,0.42,0.82
"Minutes pass. The tension stretches.",038-tension,other-screen-narrator,0.58,0.40,0.82
"Then it happens.",039-happens,other-screen-narrator,0.62,0.44,0.82
"A young wolf lunges too far. Just a little too bold.",040-lunges,other-screen-narrator,0.62,0.40,0.82
"One jaguar explodes forward. Not a run. A launch.",041-explodes,other-screen-narrator,0.64,0.38,0.82
"A blur of yellow and black.",042-blur,other-screen-narrator,0.62,0.42,0.82
"The wolf tries to turn... but it's too late.",043-too-late,other-screen-narrator,0.62,0.40,0.82
"The cat slams it to the ground. One bite. A sickening crunch. And it's over.",044-crunch,other-screen-narrator,0.64,0.38,0.82
"The entire pack jumps back at once.",045-jump-back,other-screen-narrator,0.60,0.42,0.82
"They just learned the rule. Close range equals death.",046-rule,other-screen-narrator,0.62,0.40,0.82
"So they adapt.",047-adapt,other-screen-narrator,0.60,0.44,0.82
"Now they stay farther away. They start circling faster.",048-circle-faster,other-screen-narrator,0.58,0.42,0.82
"Forcing the jaguars to turn. Again. And again. And again.",049-again,other-screen-narrator,0.60,0.40,0.82
"Every time a wolf feints... the cats react. Every reaction costs energy.",050-costs,other-screen-narrator,0.60,0.42,0.82
"A snap at the hind legs. A quick retreat.",051-snap,other-screen-narrator,0.58,0.42,0.82
"Another fake charge from the opposite side.",052-fake,other-screen-narrator,0.60,0.42,0.82
"The jaguars swipe at air. Miss. Turn. Miss again.",053-miss,other-screen-narrator,0.60,0.42,0.82
"The wolves are playing a long game.",054-long-game,other-screen-narrator,0.62,0.40,0.82
"They aren't trying to win right now. They're trying to win later.",055-later,other-screen-narrator,0.60,0.42,0.82
"Ten minutes pass.",056-ten-min,other-screen-narrator,0.58,0.44,0.82
"The jaguars are still lethal... but they're breathing harder.",057-breathing,other-screen-narrator,0.60,0.42,0.82
"Their movements aren't quite as sharp. The wolves notice everything.",058-notice-all,other-screen-narrator,0.58,0.42,0.82
"Now the nips get closer.",059-nips,other-screen-narrator,0.62,0.42,0.82
"A bite to the flank. A quick tear at the rear leg. Not deep.",060-flank,other-screen-narrator,0.60,0.42,0.82
"But enough to sting. Enough to slow.",061-slow,other-screen-narrator,0.60,0.42,0.82
"Because wolves know something cats hate. A drawn-out fight.",062-drawn-out,other-screen-narrator,0.62,0.40,0.82
"Big cats are sprinters. Wolves are marathon runners.",063-sprinters,other-screen-narrator,0.62,0.42,0.82
"Then comes the mistake.",064-mistake,other-screen-narrator,0.62,0.42,0.82
"One jaguar finally commits to a full charge.",065-commits,other-screen-narrator,0.62,0.40,0.82
"It chases a wolf too far. Just a few extra steps.",066-too-far,other-screen-narrator,0.60,0.42,0.82
"But that's all it takes.",067-takes,other-screen-narrator,0.62,0.44,0.82
