text,filename,voice,exaggeration,cfg_weight,temperature
"Hello and welcome back to Wired Workshop! My name is Gemini, and today we’re talking about the future.",001-intro,wired-eliv3,0.58,0.45,0.75
"For the past several lessons, we’ve built a solid foundation.",002-foundation,wired-eliv3,0.58,0.45,0.75
"We’ve identified the components of a network, learned how to read its maps, and understood the principles of building a reliable architecture.",003-built-foundation,wired-eliv3,0.58,0.45,0.75
"But a network is not a static thing. It is a living, breathing entity that is constantly evolving, driven by the incredible pace of human innovation.",004-network-evolves,wired-eliv3,0.58,0.45,0.75
"Think back to the internet of the early 2000s—the screeching dial‑up modem and waiting for a single image to load.",005-early-2000s,wired-eliv3,0.58,0.45,0.75
"Back then, watching a video online felt like science fiction for most.",006-then-video,wired-eliv3,0.58,0.45,0.75
"Now, we live in a world of instant 4K streaming and global video conferences that feel like you’re in the same room.",007-today-4k,wired-eliv3,0.58,0.45,0.75
"Billions of tiny devices—from our watches to our refrigerators—are all connected to the internet.",008-billions-devices,wired-eliv3,0.58,0.45,0.75
"This transformation didn’t just happen. Powerful trends pushed our infrastructure to its limits, forcing it to become faster, smarter, and more pervasive.",009-trends-shape,wired-eliv3,0.58,0.45,0.75
"Today, we’ll explore these trends: BYOD, online collaboration, the reign of video, cloud computing, and the modern smart home.",010-trends-overview,wired-eliv3,0.58,0.45,0.75
"Bring Your Own Device, or BYOD, has revolutionized the workplace.",011-byod-intro,wired-eliv3,0.58,0.45,0.75
"For decades, companies issued locked‑down desktops. Personal devices stayed in your pocket.",012-byod-past,wired-eliv3,0.58,0.45,0.75
"BYOD flips the model. Employees use their own phones, tablets, and laptops to access company resources.",013-byod-flip,wired-eliv3,0.58,0.45,0.75
"Why do this? People are more comfortable and proficient with their own devices.",014-byod-why,wired-eliv3,0.58,0.45,0.75
"It enables flexibility—answer an email or join a meeting from anywhere. It can reduce hardware costs.",015-byod-benefits,wired-eliv3,0.58,0.45,0.75
"But convenience brings a price: security challenges for network administrators.",016-byod-price,wired-eliv3,0.58,0.45,0.75
"If an employee accesses confidential email on a personal phone, how does the company keep that data safe?",017-byod-question1,wired-eliv3,0.58,0.45,0.75
"What if the phone is lost? What if a personal laptop carries malware into the corporate network?",018-byod-question2,wired-eliv3,0.58,0.45,0.75
