text,filename,voice,exaggeration,cfg_weight,temperature
"High above the world, nestled amongst the softest clouds, floated Cloud Castle. Home to the kind and curious Princess Everly. But Everly had a very unusual best friend. Not a fairy, not a talking animal of the forest below, but a tiny Tyrannosaurus Rex named Eli.",001-intro-narrator,tinytales-oldman,0.55,0.60,0.8
"(Giggles) Come on, Eli! Catch me if you can!",002-everly-challenge,tinytales-female2,0.55,0.65,0.8
"Rawr-eep!",003-eli-rawr-1,wired-eliv3,0.50,0.65,0.8
"(Stopping and turning) You’re getting faster, little one! Almost as fast as a cloud breeze!",004-everly-faster,tinytales-female2,0.55,0.65,0.8
"Eli wasn't like the fearsome dinosaurs of old tales. He was gentle, playful, and surprisingly good at fetching lost hair ribbons.",005-narrator-eli-kind,tinytales-oldman,0.55,0.60,0.8
"You know, Eli, I was thinking… Cloud Castle is lovely, but sometimes I wish we could explore a little more.",006-everly-thinking,tinytales-female2,0.55,0.65,0.8
"I’ve heard stories from the wind spirits about a legendary Rainbow Waterfall. They say it shimmers with every color imaginable and tastes like pure sunshine!",007-everly-rainbow,tinytales-female2,0.55,0.65,0.8
"I know, right? It sounds amazing! But it’s said to be hidden somewhere beyond the Whispering Mists. Papa says it’s too dangerous for little princesses.",008-everly-dangerous,tinytales-female2,0.55,0.65,0.8
"(Smiling slightly) But… maybe we could have a little pretend adventure? Right here in the courtyard?",009-everly-pretend,tinytales-female2,0.55,0.65,0.8
"Okay! The courtyard… is now the treacherous Cloud Forest leading to the Whispering Mists! And that pile of fluffy clouds over there… is Mount Fluffernutter, the tallest peak we must climb!",010-everly-cloud-forest,tinytales-female2,0.60,0.65,0.8
"Rawr-eep!",011-eli-rawr-2,wired-eliv3,0.50,0.65,0.8
"Wait for me, silly! And remember, the ground is very… bouncy… and might… tickle your toes!",012-everly-bouncy,tinytales-female2,0.55,0.65,0.8
"Oh dear! A hidden cloud trap! Luckily, Princess Everly is very agile!",013-everly-agile,tinytales-female2,0.55,0.65,0.8
"(Laughing) Need a little boost, brave explorer?",014-everly-boost,tinytales-female2,0.60,0.65,0.8
"You did it! You conquered Mount Fluffernutter! Now, beyond lies the Whispering Mists! We must be very quiet. Legend says the mists whisper secrets… and tickle noses!",015-everly-whispering,tinytales-female2,0.60,0.60,0.8
"(Whispering) Can you hear them, Eli? The secrets of the clouds… and maybe… just maybe… the way to the Rainbow Waterfall!",016-everly-can-you-hear,tinytales-female2,0.55,0.60,0.8
"Even if we don’t find the real Rainbow Waterfall today, Eli… this pretend adventure was pretty wonderful, wasn't it?",017-everly-wonderful,tinytales-female2,0.55,0.65,0.8
"Rawr-eep.",018-eli-rawr-3,wired-eliv3,0.50,0.65,0.8
"And so, Princess Everly and her miniature T-Rex friend, Eli, continued their imaginative journey through the cloud courtyard, their laughter and soft roars echoing in the gentle breeze. For even in a castle made of clouds, the greatest adventures are often the ones you create together.",019-outro-narrator,tinytales-oldman,0.55,0.60,0.8
