text,filename,voice,exaggeration,cfg_weight,temperature
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",01-slow-calm-stable,tommy-paradise,0.45,0.35,0.70
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",02-slow-calm-default,tommy-paradise,0.45,0.35,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",03-slow-default-default,tommy-paradise,0.55,0.35,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",04-medium-calm-stable,tommy-paradise,0.45,0.50,0.70
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",05-medium-calm-default,tommy-paradise,0.45,0.50,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",06-medium-default-default,tommy-paradise,0.55,0.50,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",07-medium-energetic-default,tommy-paradise,0.65,0.50,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",08-default-calm-default,tommy-paradise,0.45,0.60,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",09-default-default-default,tommy-paradise,0.55,0.60,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",10-default-default-varied,tommy-paradise,0.55,0.60,0.90
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",11-default-energetic-default,tommy-paradise,0.65,0.60,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",12-fast-default-default,tommy-paradise,0.55,0.70,0.80
"Hello I'm Tommy Paradise, Eli will always be stronger than me.",13-fast-energetic-default,tommy-paradise,0.65,0.70,0.80
"Hello I'm Tommy Paradise... Eli will always be stronger than me.",14-pause-slow-calm,tommy-paradise,0.45,0.35,0.80
"Hello I'm Tommy Paradise... Eli will always be stronger than me.",15-pause-medium-default,tommy-paradise,0.55,0.50,0.80
"Hello I'm Tommy Paradise... Eli will always be stronger than me.",16-pause-default-default,tommy-paradise,0.55,0.60,0.80
