text,filename,voice,exaggeration,cfg_weight,temperature
"Two elite predators. Two completely different fighting philosophies.",001-intro,other-aussie,0.55,0.42,0.78
"On one side... the Jaguar. An A-tier apex ambush predator.",002-jaguar-intro,other-aussie,0.55,0.42,0.78
"On the other... a coordinated Wolf Pack. An A-tier endurance-based team hunter.",003-wolf-intro,other-aussie,0.55,0.42,0.78
"This isn't just power versus power. This is burst damage versus sustained pressure.",004-thesis,other-aussie,0.58,0.42,0.78
"Let's break it down using the combat stat system.",005-lets-break,other-aussie,0.55,0.44,0.78
"The Jaguar scores a 9 in Power. One of the strongest cats in the world.",006-jag-power,other-aussie,0.55,0.42,0.78
"Dense muscle. Heavy forelimbs. Built to grapple and overpower prey.",007-jag-power-detail,other-aussie,0.55,0.42,0.78
"The Wolf Pack scores a 5 in individual Power. But that number is deceptive. Because wolves don't fight alone.",008-wolf-power,other-aussie,0.55,0.42,0.78
"In Bite and Damage... the Jaguar hits a 10.",009-bite-intro,other-aussie,0.58,0.42,0.78
"This is one of the most lethal bites in the animal kingdom. Estimated bite force around 1500 PSI.",010-bite-detail,other-aussie,0.55,0.42,0.78
"Known for piercing skulls and crushing bone.",011-bite-skulls,other-aussie,0.55,0.42,0.78
"Wolves score a 7 in Bite Damage. Strong... but built more for tearing and repeated attacks than instant kills.",012-wolf-bite,other-aussie,0.55,0.42,0.78
"Speed is close. Jaguar... 7. Wolf... 7.",013-speed,other-aussie,0.55,0.44,0.78
"Both can reach around 35 to 38 miles per hour. But the difference isn't top speed. It's stamina.",014-speed-detail,other-aussie,0.55,0.42,0.78
"Endurance tells the story.",015-endurance-intro,other-aussie,0.58,0.44,0.78
"Jaguar scores a 4. Explosive. Dangerous. But not built for long fights.",016-jag-endurance,other-aussie,0.55,0.42,0.78
"Wolf Pack scores a 9. Wolves can travel over 20 miles in a day. They hunt by exhausting their prey.",017-wolf-endurance,other-aussie,0.55,0.42,0.78
"Mobility favors the Jaguar slightly at 8. Elite climbing ability. Strong agility. Explosive direction changes.",018-jag-mobility,other-aussie,0.55,0.42,0.78
"Wolves score a 7. Excellent coordination and pursuit mobility. But no vertical escape.",019-wolf-mobility,other-aussie,0.55,0.42,0.78
"Defense is interesting.",020-defense-intro,other-aussie,0.55,0.44,0.78
"Jaguar scores a 7. Thick hide. Strong neck. Heavy build.",021-jag-defense,other-aussie,0.55,0.42,0.78
"Wolves score a 5 individually. But when combined as a pack... their defense becomes positional. They protect each other through movement and formation.",022-wolf-defense,other-aussie,0.55,0.42,0.78
"Intelligence gives wolves a slight edge.",023-intel-intro,other-aussie,0.55,0.44,0.78
"Jaguar scores a 6. Smart, patient, strategic ambush hunter.",024-jag-intel,other-aussie,0.55,0.42,0.78
"Wolf Pack scores an 8. Complex coordination. Flanking. Role rotation.",025-wolf-intel,other-aussie,0.55,0.42,0.78
"But the biggest gap in the entire matchup... is Teamwork.",026-teamwork-intro,other-aussie,0.58,0.42,0.78
"Jaguar scores a 2. Mostly solitary. Occasionally in pairs... but not coordinated fighters.",027-jag-team,other-aussie,0.55,0.42,0.78
"Wolf Pack scores a 10. This is their defining trait.",028-wolf-team,other-aussie,0.58,0.42,0.78
"Relay pursuit. Flanking tactics. Rotating attackers. Psychological pressure.",029-wolf-team-detail,other-aussie,0.55,0.42,0.78
"Now let's talk unique abilities.",030-abilities-intro,other-aussie,0.55,0.44,0.78
"Jaguar traits include... Ambush Specialist. Skull-Crush Bite. Tree Climber. Burst Grappler.",031-jag-traits,other-aussie,0.55,0.42,0.78
"This means if a wolf gets isolated and caught... it's likely over in seconds.",032-jag-implication,other-aussie,0.55,0.42,0.78
"Wolf Pack traits include... Pack Coordination. Endurance Pressure. Flank Attacks. Target Isolation.",033-wolf-traits,other-aussie,0.55,0.42,0.78
"This means they don't need to win instantly. They just need to drag the fight out.",034-wolf-implication,other-aussie,0.55,0.42,0.78
"So how does this play out?",035-play-out,other-aussie,0.58,0.44,0.78
"If this is a short encounter... under two minutes... the Jaguar has the advantage. It can kill quickly.",036-short-fight,other-aussie,0.55,0.42,0.78
"One clean grab could remove a wolf immediately.",037-clean-grab,other-aussie,0.55,0.42,0.78
"But if the wolves avoid early mistakes and force a drawn-out engagement... the fight changes.",038-long-fight,other-aussie,0.55,0.42,0.78
"They will circle. Force the Jaguar to pivot repeatedly. Nip at hind legs. Test reactions. Force explosive bursts.",039-wolf-tactics,other-aussie,0.55,0.42,0.78
"Every burst costs stamina.",040-stamina-cost,other-aussie,0.58,0.42,0.78
"Once fatigue sets in... the Jaguar's biggest advantage... burst damage... becomes harder to apply.",041-fatigue,other-aussie,0.55,0.42,0.78
"And that's where wolves win fights.",042-wolves-win,other-aussie,0.58,0.42,0.78
"Not by overpowering. By accumulating pressure.",043-accumulating,other-aussie,0.55,0.42,0.78
"So what's the verdict?",044-verdict-intro,other-aussie,0.58,0.44,0.78
"Based purely on raw stats...",045-raw-stats,other-aussie,0.55,0.42,0.78
"Jaguar wins short-term engagements. Wolf Pack wins long-duration fights.",046-verdict-split,other-aussie,0.55,0.42,0.78
"In a one-on-one scenario... Jaguar dominates.",047-one-on-one,other-aussie,0.55,0.42,0.78
