text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to Wired Workshop.",001-intro,wired-eliv3,0.58,0.42,0.78
"In this video... we're going to do an introduction to IP.",002-intro-ip,wired-eliv3,0.55,0.42,0.78
"And although this does not map one-to-one to a specific CompTIA A+ objective... it supports almost everything in Domain 2, the networking domain.",003-domain2,wired-eliv3,0.55,0.40,0.78
"A lot of networking topics build on this foundation.",004-foundation,wired-eliv3,0.55,0.42,0.78
"So if you're new to networking... or you've heard terms like IP address, TCP, UDP, ports, packets, and encapsulation but they still feel fuzzy... this video will connect the dots.",005-connect-dots,wired-eliv3,0.55,0.40,0.78
"We're going to keep it practical.",006-practical,wired-eliv3,0.58,0.42,0.78
"We'll use simple analogies... but we'll also tie them back to real network behavior, so the next networking videos will make much more sense.",007-analogies,wired-eliv3,0.55,0.42,0.78
"Let's begin with the big picture.",008-big-picture,wired-eliv3,0.58,0.45,0.78
"A network exists to move information from one device to another.",009-network-purpose,wired-eliv3,0.55,0.42,0.78
"You might have a laptop talking to a printer. A phone talking to a Wi-Fi router. A desktop talking to a server in the cloud.",010-examples,wired-eliv3,0.55,0.42,0.78
"And these networks can be built in many different ways. Ethernet, which is wired. Wi-Fi, which is wireless. Cellular networks. Fiber. Cable. DSL. And there are many others.",011-network-types,wired-eliv3,0.55,0.42,0.78
"From the perspective of IP... it doesn't really matter what the road is made of. IP is focused on what's inside the packets moving across those roads.",012-ip-perspective,wired-eliv3,0.55,0.40,0.78
"So here's an analogy we'll use throughout this video.",013-analogy-intro,wired-eliv3,0.58,0.42,0.78
"The network is the road system. IP is the delivery truck. And inside the truck are boxes.",014-road-truck,wired-eliv3,0.55,0.42,0.78
"Those boxes are TCP or UDP. And inside those boxes is the actual application data... like web traffic, email, video calls, file transfers, and so on.",015-boxes,wired-eliv3,0.55,0.40,0.78
"This concept of placing one protocol inside another is one of the most important ideas in networking.",016-important-concept,wired-eliv3,0.58,0.42,0.78
"We call it encapsulation when we pack it up. And decapsulation when we unpack it on the other side.",017-encapsulation,wired-eliv3,0.55,0.42,0.78
"Let's build the packet from the outside in.",018-build-packet,wired-eliv3,0.58,0.45,0.78
"Imagine you're sending a request to a web server. Your laptop is the client. The web server is the destination.",019-client-server,wired-eliv3,0.55,0.42,0.78
"If you're on a wired network... that information might be placed inside an Ethernet frame.",020-ethernet-frame,wired-eliv3,0.55,0.42,0.78
"Ethernet frames have a structure. There's a header at the beginning... and there's a trailer at the end.",021-frame-structure,wired-eliv3,0.55,0.40,0.78
"The header and trailer help the network devices understand where the data starts, where it ends, and whether the frame arrived intact.",022-header-trailer,wired-eliv3,0.55,0.42,0.78
"Inside that Ethernet frame is the payload. And that payload often contains IP traffic.",023-payload,wired-eliv3,0.55,0.42,0.78
"So now we zoom in. Inside the Ethernet payload is an IP packet.",024-zoom-ip,wired-eliv3,0.58,0.42,0.78
"That IP packet also has an IP header. That header includes things like the source and destination IP addresses.",025-ip-header,wired-eliv3,0.55,0.42,0.78
"And inside that IP packet is another payload. And that payload is often TCP or UDP.",026-ip-payload,wired-eliv3,0.55,0.42,0.78
"So now we zoom in again. If it's TCP... inside the IP payload is a TCP segment.",027-zoom-tcp,wired-eliv3,0.58,0.42,0.78
"The TCP segment also has a TCP header. And inside the TCP segment is the application data.",028-tcp-header,wired-eliv3,0.55,0.42,0.78
"For web traffic, that might be HTTP or HTTPS. For email, it might be SMTP or IMAP. For file transfers, it might be SMB or SFTP.",029-app-protocols,wired-eliv3,0.55,0.42,0.78
"So what we have is layered communication.",030-layered,wired-eliv3,0.58,0.42,0.78
"Ethernet on the outside. IP inside Ethernet. TCP or UDP inside IP. Application data inside TCP or UDP.",031-layers-list,wired-eliv3,0.55,0.42,0.78
"This is why networking feels like nesting dolls. Each layer wraps the next.",032-nesting-dolls,wired-eliv3,0.55,0.42,0.78
"Now let's talk about why we do this. Because networks need to solve multiple problems at once.",033-why,wired-eliv3,0.58,0.45,0.78
"We need to move data across a local network. That's something Ethernet and Wi-Fi are good at.",034-local-network,wired-eliv3,0.55,0.42,0.78
"We also need a standardized way to route data across many networks... even across the world. That's what IP is designed for.",035-route-world,wired-eliv3,0.55,0.40,0.78
"And we also need a standardized way to manage conversations between applications. That's where TCP and UDP come in.",036-conversations,wired-eliv3,0.55,0.42,0.78
"So each layer has a job. And together... they form a complete communication system.",037-complete-system,wired-eliv3,0.58,0.42,0.78
"Now let's focus on IP.",038-focus-ip,wired-eliv3,0.58,0.45,0.78
"IP stands for Internet Protocol. It's the addressing and routing system that allows data to move between networks.",039-ip-definition,wired-eliv3,0.55,0.42,0.78
"If Ethernet is what helps devices communicate on the same local network... IP is what helps those local networks communicate with other networks.",040-ip-role,wired-eliv3,0.55,0.40,0.78
"In the real world... IP is why your laptop can talk to a server across the internet.",041-real-world-1,wired-eliv3,0.55,0.42,0.78
"IP is also why your phone can stream video from a content provider hundreds or thousands of miles away.",042-real-world-2,wired-eliv3,0.55,0.42,0.78
"So IP is our truck. But for the truck to drive somewhere... it needs addresses. That's where IP addresses come in.",043-ip-addresses,wired-eliv3,0.58,0.42,0.78
