text,filename,voice,exaggeration,cfg_weight,temperature
"Princess Everly and her best friend, Eli the mini T-Rex, had traveled far from their home in Cloud Castle. Today, their adventure wasn't among the clouds, but beside the vast, sparkling sea. It was their very first time feeling warm sand between their toes and seeing the endless blue water stretch out to meet the sky. They had a special mission: to find the legendary Whispering Shell, a treasure said to hold all the secrets of the ocean.",001-intro-narrator,tinytales-oldman,0.55,0.60,0.8
"Isn't it incredible, Eli? I've never seen anything so big or so blue! The wind spirits told me stories, but it's even more magical in person.",002-everly-incredible,tinytales-female2,0.55,0.65,0.8
"It's… wet! And salty! I just tasted a wave, and it was not like a cloud-berry at all. But I like how the little sand bits tickle my feet! Are you sure the Whispering Shell is here?",003-eli-wet-salty,wired-eliv3,0.50,0.65,0.8
"The ancient maps in the castle library showed it right on this coastline. It's supposed to be pearly and shimmer with all the colors of the sunset. When you hold it to your ear, you can hear the ocean's oldest secrets.",004-everly-maps,tinytales-female2,0.55,0.65,0.8
"Secrets? Like where the best snacks are hidden? Or why crabs walk sideways? I have a lot of questions for that shell. Let's go! The hunt for the Whispering Shell begins now!",005-eli-secrets,wired-eliv3,0.50,0.65,0.8
"With their mission clear, the two friends set off. Everly walked carefully along the shoreline where the waves gently lapped at the sand, her eyes scanning for any glimmer of pearly light. Eli, however, took a more direct approach, bounding through the sand with joyful, squeaky roars.",006-narrator-set-off,tinytales-oldman,0.55,0.60,0.8
"Is this it? What about this one? Ooh, this one is very swirly! I found it, Everly, I found the Whispering Shell! It's the swirliest, sandiest shell on the whole beach!",007-eli-swirly,wired-eliv3,0.50,0.65,0.8
"Oh, that’s a beautiful conch shell, Eli. Look at the lovely pink color inside. But the Whispering Shell is supposed to shimmer, remember? Like a rainbow. Let’s keep looking. It has to be here somewhere.",008-everly-conch,tinytales-female2,0.55,0.65,0.8
"Hmph. My swirly shell is still a very good shell. Hey! What's that funny-looking rock with legs? Why are you walking sideways, Mr. Crabby Rock? It's much faster to go forward! See?",009-eli-crab,wired-eliv3,0.50,0.65,0.8
"Eli chased the little crab, his tiny T-Rex legs kicking up sand as the crab skittered away and disappeared into a small hole. Everly giggled before turning her attention back to the water's edge. She spotted a cluster of colorful shells near a rocky outcrop and her heart filled with hope.",010-narrator-crab-chase,tinytales-oldman,0.55,0.60,0.8
