text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to special forces HQ, in this video we will be talking about",01-slow-calm-stable,tinytales-oldman,0.45,0.35,0.70
"Welcome back to special forces HQ, in this video we will be talking about",02-slow-calm-default,tinytales-oldman,0.45,0.35,0.80
"Welcome back to special forces HQ, in this video we will be talking about",03-slow-default-stable,tinytales-oldman,0.55,0.35,0.70
"Welcome back to special forces HQ, in this video we will be talking about",04-slow-default-default,tinytales-oldman,0.55,0.35,0.80
"Welcome back to special forces HQ, in this video we will be talking about",05-slow-energetic-default,tinytales-oldman,0.65,0.35,0.80
"Welcome back to special forces HQ, in this video we will be talking about",06-medium-calm-stable,tinytales-oldman,0.45,0.50,0.70
"Welcome back to special forces HQ, in this video we will be talking about",07-medium-calm-default,tinytales-oldman,0.45,0.50,0.80
"Welcome back to special forces HQ, in this video we will be talking about",08-medium-default-stable,tinytales-oldman,0.55,0.50,0.70
"Welcome back to special forces HQ, in this video we will be talking about",09-medium-default-default,tinytales-oldman,0.55,0.50,0.80
"Welcome back to special forces HQ, in this video we will be talking about",10-medium-default-varied,tinytales-oldman,0.55,0.50,0.90
"Welcome back to special forces HQ, in this video we will be talking about",11-medium-energetic-default,tinytales-oldman,0.65,0.50,0.80
"Welcome back to special forces HQ, in this video we will be talking about",12-default-calm-default,tinytales-oldman,0.45,0.60,0.80
"Welcome back to special forces HQ, in this video we will be talking about",13-default-default-stable,tinytales-oldman,0.55,0.60,0.70
"Welcome back to special forces HQ, in this video we will be talking about",14-default-default-default,tinytales-oldman,0.55,0.60,0.80
"Welcome back to special forces HQ, in this video we will be talking about",15-default-default-varied,tinytales-oldman,0.55,0.60,0.90
"Welcome back to special forces HQ, in this video we will be talking about",16-default-energetic-default,tinytales-oldman,0.65,0.60,0.80
"Welcome back to special forces HQ, in this video we will be talking about",17-fast-calm-default,tinytales-oldman,0.45,0.70,0.80
"Welcome back to special forces HQ, in this video we will be talking about",18-fast-default-default,tinytales-oldman,0.55,0.70,0.80
"Welcome back to special forces HQ, in this video we will be talking about",19-fast-default-varied,tinytales-oldman,0.55,0.70,0.90
"Welcome back to special forces HQ, in this video we will be talking about",20-fast-energetic-default,tinytales-oldman,0.65,0.70,0.80
"Welcome back to special forces HQ... In this video we will be talking about",21-pause-slow-calm,tinytales-oldman,0.45,0.35,0.80
"Welcome back to special forces HQ... In this video we will be talking about",22-pause-slow-default,tinytales-oldman,0.55,0.35,0.80
"Welcome back to special forces HQ... In this video we will be talking about",23-pause-medium-default,tinytales-oldman,0.55,0.50,0.80
"Welcome back to special forces HQ... In this video we will be talking about",24-pause-default-default,tinytales-oldman,0.55,0.60,0.80
"Welcome back to special forces HQ... In this video we will be talking about",25-pause-fast-default,tinytales-oldman,0.55,0.70,0.80
"Welcome back to special forces HQ... In this video we will be talking about",26-pause-default-varied,tinytales-oldman,0.55,0.60,0.90
