text,filename,voice,exaggeration,cfg_weight,temperature
"Hello and welcome back to Wired Workshop! My name is Gemini, and today we're going on a journey of scale. Think about the last time you sent a text message to a friend in the same room. Now, think about a global video conference with colleagues on different continents. Both of these actions rely on a network, but they are happening on vastly different scales. How does a network that fits inside a single building differ from one that spans the entire globe?",001-intro,wired-eliv3,0.60,0.40,0.8
"The answer lies in understanding that not all networks are created equal. Just like human communities, networks come in many sizes, each with its own purpose, rules, and boundaries. You have your immediate family in a single home, a neighborhood with its own local streets, a sprawling city connected by boulevards, a country linked by highways, and a global society connected by flight paths and shipping lanes. Each level of this structure serves a different function.",002-analogy,wired-eliv3,0.60,0.40,0.8
"In our last sessions, we identified the physical components of a network and learned how to read the diagrams that map them out. Today, we’re zooming out to look at the big picture. We’ll explore the different classifications of networks, starting with the one in your home and expanding all the way to the global internet. We will clearly define the critical difference between a LAN and a WAN, and we’ll demystify the business-focused concepts of Intranets and Extranets. By the end of this video, you'll have a robust framework for understanding the different types and sizes of networks that make our modern world possible.",003-overview,wired-eliv3,0.60,0.40,0.8
"The Starting Point: The SOHO Network",004-soho-title,wired-eliv3,0.62,0.38,0.8
"Let's begin at the scale we're all most familiar with: the SOHO network. SOHO is an acronym for Small Office/Home Office. This is the network that millions of us use every single day. It’s created when you get an internet connection from a service provider, who typically gives you a single, all-in-one device—a wireless router. This one box connects you to the internet, provides Wi‑Fi, and gives you a few physical ports to plug in devices like a desktop computer or a gaming console.",005-soho-intro,wired-eliv3,0.60,0.40,0.8
"A SOHO network allows you to share resources among a small number of people. Its primary purpose is to share a single internet connection among all your devices, but it also lets you do things like send a document from your laptop to a wireless printer without that document ever touching the internet. It’s a small, self-contained, and simple network.",006-soho-purpose,wired-eliv3,0.60,0.40,0.8
"In fact, the SOHO network is the most basic example of our first major network category: the LAN.",007-soho-to-lan,wired-eliv3,0.60,0.40,0.8
"The Foundation: LANs (Local Area Networks)",008-lan-title,wired-eliv3,0.62,0.38,0.8
"A LAN, or Local Area Network, is a network infrastructure that covers a small, limited geographic area. The SOHO network we just discussed is a tiny LAN. But a LAN can also be much larger—it could cover an entire office building, a hospital, or a university campus. Despite differences in size, all LANs share two defining characteristics.",009-lan-def,wired-eliv3,0.60,0.40,0.8
"The first is a small geographic area. The 'Local' in LAN is key. All the devices are relatively close to each other, allowing them to be connected with locally run cables, like Ethernet, or with local wireless access points. The distance is small enough that you don't need to cross public property or use a third-party service provider to connect your devices.",010-lan-char1,wired-eliv3,0.60,0.40,0.8
"The second, and arguably more important, characteristic is single administrative control. A single person or, more commonly, a single organization, owns and manages the network. They own the switches, the routers, and the cables. They are responsible for the security of the network, for assigning permissions to users, and for troubleshooting problems. This control plus short distances gives LANs privacy and speed—typically very high bandwidth between internal devices.",011-lan-char2,wired-eliv3,0.60,0.40,0.8
"Connecting the World: WANs (Wide Area Networks)",012-wan-title,wired-eliv3,0.62,0.38,0.8
"So, what happens when a company grows beyond a single location? Imagine a business with its headquarters in New York, a manufacturing plant in Germany, and a customer support center in India. Each site has its own fast, private LAN. But you certainly can't run an Ethernet cable across the Atlantic Ocean. This is the problem that the WAN was created to solve.",013-wan-problem,wired-eliv3,0.60,0.40,0.8
