text,filename,voice,exaggeration,cfg_weight,temperature
"Are you ready to go deeper? I hope you brought your safety gear because this is episode two of the Wired Workshop Python Core, and we are about to leave the shallow end of the pool. In episode one, we learned how to make the computer speak. We learned about strings, the print function, and how to glue words together like a toddler with a glue stick. But there was a problem. A massive, glaring issue with our code.",001-segment-01,wired-eliv3,0.60,0.45,0.75
It was stupid.,002-segment-02,wired-eliv3,0.58,0.40,0.70
"I don't mean the code was bad; I mean the computer had no memory. It had the attention span of a goldfish. We could tell it to print ""Hello World,"" and it would do it, and then immediately forget everything that just happened. It couldn't remember who we were. It couldn't remember what we asked it to do. It was just a parrot repeating sounds.",003-segment-03,wired-eliv3,0.58,0.40,0.80
"Today, we change that. Today, we give the machine a brain. We are going to talk about Variables and Input. These are the foundational building blocks of every single piece of software you have ever used, from the operating system on your phone to the server running YouTube right now.",004-segment-04,wired-eliv3,0.60,0.45,0.75
"So, grab your coffee. Actually, grab two, because we are going to need the caffeine. We are starting a business.",005-segment-05,wired-eliv3,0.58,0.40,0.70
"Yes, you heard me. You and I are going into the coffee industry. We are opening ""Wired Workshop Coffee,"" the only coffee shop on the internet that serves pure, liquid voltage. But hiring humans is expensive, and frankly, they complain too much. So, we are going to build a Robot Barista. We are going to write a Python script that greets a customer, asks for their name, remembers that name, shows them a menu, takes their order, and processes it.",006-segment-06,wired-eliv3,0.58,0.40,0.80
"If you can build this, you can build almost anything. So launch your lab. If you haven't set up your environment yet, check the link in the description or go back to episode one. We are coding in the browser, so you have zero excuses. Let's get to work.",007-segment-07,wired-eliv3,0.60,0.45,0.75
"First, let's look at our blank canvas. It's empty. It's sad. Let's add a comment so we know what we are doing. Type a hashtag, space, ""Let's build a Robot Barista."" Remember, the computer ignores this line. This is just for us, so when we look at this code in six months, we don't wonder why we were obsessed with coffee.",008-segment-08,wired-eliv3,0.58,0.40,0.70
"Now, any decent barista needs to greet the customer. We know how to do this. We use the print function. Type print, parentheses, quote. ""Hello, welcome to Wired Workshop Coffee."" Add some exclamation points because our robot is aggressively friendly. It runs on high voltage.",009-segment-09,wired-eliv3,0.58,0.40,0.80
"If we run this, the console prints the greeting. Great. We have a polite robot. But right now, it's just shouting into the void. We want it to interact with us. We want it to ask, ""What is your name?""",010-segment-10,wired-eliv3,0.60,0.45,0.75
"We could just print that question. print(""What is your name?""). If we run that, the robot says: ""Hello... What is your name?"" And then... nothing. The program ends. The cursor stops blinking. The robot isn't waiting for an answer; it's just stating a rhetorical question.",011-segment-11,wired-eliv3,0.58,0.40,0.70
We need a way to pause the program and wait for the human to type something. We need to open a portal between the keyboard and the code.,012-segment-12,wired-eliv3,0.58,0.40,0.80
Enter the Input Function.,013-segment-13,wired-eliv3,0.60,0.45,0.75
This is your new best friend. The input() function does exactly what it says on the tin. It pauses the execution of your script and waits for the user to type something into the console and hit Enter.,014-segment-14,wired-eliv3,0.58,0.40,0.70
"Let's try it. Delete that second print statement. Instead, type input, parentheses, quote. Inside the quotes, type the question you want to ask. ""What is your name?"".",015-segment-15,wired-eliv3,0.58,0.40,0.80
"So it looks like input(""What is your name?"").",016-segment-16,wired-eliv3,0.60,0.45,0.75
"Now, hit Run. Watch the console closely. It prints ""Hello, welcome..."" and then it prints ""What is your name?"". But notice something different. The program hasn't finished. There is a blinking cursor right at the end of the line. It is waiting. It is listening.",017-segment-17,wired-eliv3,0.58,0.40,0.70
"Type your name. I'll type ""Neo."" Hit Enter.",018-segment-18,wired-eliv3,0.58,0.40,0.80
The program finishes.,019-segment-19,wired-eliv3,0.60,0.45,0.75
"Okay, so we typed ""Neo,"" and the computer accepted it. But where did ""Neo"" go? Did the computer remember it? No. It took the input, looked at it, said ""Cool story, bro,"" and threw it into the digital incinerator. The data is gone. We caught the fish and immediately threw it back into the ocean.",020-segment-20,wired-eliv3,0.58,0.40,0.70
We need a container. We need a bucket to hold that data so we can use it later.,021-segment-21,wired-eliv3,0.58,0.40,0.80
This brings us to Variables.,022-segment-22,wired-eliv3,0.60,0.45,0.75
"A variable is just a box. Imagine you are moving house. You have a cardboard box. You take a sharpie and write ""KITCHEN"" on the side of the box. That label is the Variable Name. Inside the box, you put your toaster. The toaster is the Value or the Data.",023-segment-23,wired-eliv3,0.58,0.40,0.70
"In Python, we create variables by giving them a name, using the equals sign, and then assigning a value.",024-segment-24,wired-eliv3,0.58,0.40,0.80
"name = ""Neo""",025-segment-25,wired-eliv3,0.60,0.45,0.75
"Here, name is the label on the box. The equals sign is the act of putting something inside. And ""Neo"" is the object inside the box.",026-segment-26,wired-eliv3,0.58,0.40,0.70
Let's test this concept before we fix our barista. Comment out your barista code for a second. Let's just play in the sandbox.,027-segment-27,wired-eliv3,0.58,0.40,0.80
"Type name = ""Iron Man"". On the next line, type print(name). Notice, I am not putting quotes around name. If I put quotes, it would print the word ""name."" By leaving the quotes off, I am telling Python, ""Go find the box labeled 'name' and show me what is inside.""",028-segment-28,wired-eliv3,0.60,0.45,0.75
"Run it. It prints ""Iron Man.""",029-segment-29,wired-eliv3,0.58,0.40,0.70
"Now, watch this. This is why they are called variables, because they can vary. Add a new line: name = ""Batman"". And print it again: print(name).",030-segment-30,wired-eliv3,0.58,0.40,0.80
"Run the code. It prints ""Iron Man"" first. Then, we took ""Iron Man"" out of the box, threw him away, and put ""Batman"" in the box. So the second print statement says ""Batman."" The container stays the same; the contents change.",031-segment-31,wired-eliv3,0.60,0.45,0.75
"Okay, sandbox time is over. Let's go back to our Robot Barista. Uncomment your code.",032-segment-32,wired-eliv3,0.58,0.40,0.70
"We have this line: input(""What is your name?""). We need to capture the result of this input and shove it into a variable. So, go to the start of that line. Type name, space, equals, space.",033-segment-33,wired-eliv3,0.58,0.40,0.80
"So now it reads: name = input(""What is your name?"")",034-segment-34,wired-eliv3,0.60,0.45,0.75
"This is a powerful line of code. It reads from right to left. First, Python runs the input function. It asks the user for data. The user types ""Neo."" Python takes that string ""Neo"" and passes it to the left side of the equals sign, storing it inside the variable name.",035-segment-35,wired-eliv3,0.58,0.40,0.70
"Now, we can use that variable to make our robot seem intelligent.",036-segment-36,wired-eliv3,0.58,0.40,0.80
"Let's make the robot reply. Type print, parentheses. We want it to say ""Hello Neo, thank you for coming in."" But we can't just type ""Hello Neo"" because the next customer might be Trinity. We need it to be dynamic.",037-segment-37,wired-eliv3,0.60,0.45,0.75
"We are going to use String Concatenation from the last episode. Inside the print function, type: print(""Hello "" + name).",038-segment-38,wired-eliv3,0.58,0.40,0.70
"Look closely at what I did there. I put a string ""Hello "" with a space at the end. Then the plus sign. Then the variable name. Let's run it. ""What is your name?"" I type ""Chuck."" Output: ""Hello Chuck"".",039-segment-39,wired-eliv3,0.58,0.40,0.80
"Boom. It works. The computer remembered me. It feels personal. It feels alive. Well, as alive as a few lines of text can feel. But we can do better. Let's add more to the sentence.",040-segment-40,wired-eliv3,0.60,0.45,0.75
"Modify that line: print(""Hello "" + name + "", thank you so much for coming in today."")",041-segment-41,wired-eliv3,0.58,0.40,0.70
"Run it again. ""What is your name?"" ""Sarah."" ""Hello Sarah, thank you so much for coming in today.""",042-segment-42,wired-eliv3,0.58,0.40,0.80
"This is the core of all software interaction. Input, Storage, Output. You take data from the user, you keep it in a variable, and you spit it back out in a useful way.",043-segment-43,wired-eliv3,0.60,0.45,0.75
"But there is a small aesthetic crime being committed here. When the robot asks ""What is your name?"", and I start typing, my text appears right next to the question mark, squished up against it. It looks ugly. It looks unprofessional. Wired Workshop Coffee is a premium establishment; we don't do ugly code.",044-segment-44,wired-eliv3,0.58,0.40,0.70
"Go back to your input string. input(""What is your name?""). Add a space after the question mark. Or, even better, add a newline character \n. input(""What is your name?\n"") Now when you run it, the cursor waits on the next line. It looks clean. It looks deliberate. Design matters, people.",045-segment-45,wired-eliv3,0.58,0.40,0.80
"Okay, we have a Greeter Bot. Now we need a Barista Bot. We need a Menu.",046-segment-46,wired-eliv3,0.60,0.45,0.75
"We could just print the menu items directly, but let's be smart. Let's store the menu in a variable, so if we decide to change the menu later, we only have to update it in one place.",047-segment-47,wired-eliv3,0.58,0.40,0.70
"Create a new variable called menu. menu = ""Black Coffee, Espresso, Latte, Cappucino""",048-segment-48,wired-eliv3,0.58,0.40,0.80
"Now, let's present this to the customer. print(name + "", what would you like from our menu today? Here is what we are serving.\n"" + menu)",049-segment-49,wired-eliv3,0.60,0.45,0.75
"This is getting complex, so let's break it down. We are printing the customer's name variable. Adding a string asking them what they want. Adding a newline character to make space. And then adding the menu variable.",050-segment-50,wired-eliv3,0.58,0.40,0.70
