text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to Wired Workshop.",001-intro,wired-eliv3,0.58,0.42,0.78
"In this session... we're going to explore mobile device networks.",002-session-intro,wired-eliv3,0.55,0.42,0.78
"Your smartphone is one of the most powerful computers you own. But unlike a desktop or even a laptop... it's designed to stay connected almost everywhere you go.",003-smartphone-power,wired-eliv3,0.55,0.40,0.78
"Calls. Texts. Streaming video. GPS navigation. Hotspots. Bluetooth devices.",004-list-features,wired-eliv3,0.58,0.45,0.78
"All of this works because of several different wireless technologies... working together inside one small device.",005-wireless-tech,wired-eliv3,0.55,0.40,0.78
"Understanding how these networks function is essential for troubleshooting connectivity issues, configuring devices, and of course... passing your CompTIA A+ exam.",006-why-important,wired-eliv3,0.58,0.42,0.78
"Let's start with the biggest one.",007-start-biggest,wired-eliv3,0.58,0.45,0.78
"Cellular networks.",008-cellular,wired-eliv3,0.60,0.45,0.78
"When you hear the term cell phone... the word cell actually refers to cellular coverage areas.",009-cell-meaning,wired-eliv3,0.55,0.40,0.78
"Mobile providers divide large geographic regions into smaller sections called cells. Each cell has its own antenna or tower that provides service to devices nearby.",010-cells-explained,wired-eliv3,0.55,0.40,0.78
"As you move... your phone automatically switches between towers. This process is called handoff... and it's what allows you to drive down the highway while staying on the same phone call.",011-handoff,wired-eliv3,0.55,0.40,0.78
"Modern cellular networks provide both voice and data... and you control how your phone uses them.",012-voice-data,wired-eliv3,0.55,0.42,0.78
"You can enable or disable cellular data. You can use Wi-Fi only. Or you can turn on airplane mode... which disables all wireless radios at once.",013-control-options,wired-eliv3,0.55,0.40,0.78
"Airplane mode is often used for flights, saving battery life, or troubleshooting network issues.",014-airplane-mode,wired-eliv3,0.55,0.42,0.78
"Cellular technology has evolved over time. You'll often hear terms like 3G, 4G, LTE, and 5G. These represent different generations of mobile network speed and capability.",015-evolution,wired-eliv3,0.55,0.40,0.78
"Let's break them down.",016-break-down,wired-eliv3,0.58,0.45,0.78
"3G was the first generation that really focused on data. It allowed mobile internet browsing, GPS apps, video calls, and streaming media. Before 3G... phones were mostly for voice and text.",017-3g,wired-eliv3,0.55,0.40,0.78
"4G, often called LTE, or Long-Term Evolution... brought much faster speeds. We're talking up to around 100 to 150 megabits per second.",018-4g-lte,wired-eliv3,0.55,0.40,0.78
"This made HD video streaming, mobile gaming, and app downloads much smoother.",019-4g-benefits,wired-eliv3,0.55,0.42,0.78
"Then came LTE Advanced, sometimes called LTE-A... which pushed speeds even higher.",020-lte-advanced,wired-eliv3,0.55,0.42,0.78
"And today we use 5G.",021-5g-intro,wired-eliv3,0.58,0.45,0.78
"5G dramatically increases bandwidth and reduces latency. Some 5G connections can reach speeds approaching gigabit internet... similar to home fiber connections.",022-5g-speed,wired-eliv3,0.55,0.40,0.78
"That kind of speed allows things like... cloud gaming, 4K streaming, real-time video calls, and large Internet of Things deployments.",023-5g-uses,wired-eliv3,0.55,0.42,0.78
"So if a user complains that their phone feels slow... understanding whether they're on 3G, LTE, or 5G can immediately explain the issue.",024-troubleshoot-speed,wired-eliv3,0.58,0.42,0.78
"Now let's talk about Wi-Fi.",025-wifi-intro,wired-eliv3,0.58,0.45,0.78
"Even though cellular networks are powerful... most phones still rely heavily on 802.11 wireless networks, also known as Wi-Fi.",026-wifi-reliance,wired-eliv3,0.55,0.40,0.78
