text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to Wired Workshop.",001-intro,wired-eliv3,0.58,0.42,0.78
"In this session... we're going to talk about something you don't usually see... but absolutely depends on behind the scenes.",002-session-intro,wired-eliv3,0.55,0.40,0.78
"Mobile Device Management... or MDM.",003-mdm-intro,wired-eliv3,0.58,0.45,0.78
"If you've ever worked in an office... you've probably noticed something.",004-office,wired-eliv3,0.55,0.42,0.78
"Everyone has a phone. Some people have tablets. Some even have multiple devices.",005-devices-everywhere,wired-eliv3,0.55,0.42,0.78
"Now imagine you're the IT administrator responsible for all of them.",006-imagine-it,wired-eliv3,0.55,0.40,0.78
"How do you secure them? How do you configure them?",007-how-secure,wired-eliv3,0.58,0.42,0.78
"How do you make sure company data stays safe... if someone loses their phone?",008-data-safe,wired-eliv3,0.55,0.40,0.78
"And how do you manage hundreds... or even thousands... of devices without touching each one individually?",009-thousands,wired-eliv3,0.55,0.40,0.78
"That's exactly what Mobile Device Management is designed to solve.",010-designed-to-solve,wired-eliv3,0.58,0.42,0.78
"At its core... an MDM is centralized software that allows an organization to control and manage mobile devices remotely.",011-core-definition,wired-eliv3,0.55,0.40,0.78
"Instead of configuring each phone by hand... you manage everything from one dashboard.",012-one-dashboard,wired-eliv3,0.55,0.42,0.78
"From that single console, you can... push settings, install apps, enforce security policies, track devices, and even remotely wipe them.",013-console-features,wired-eliv3,0.55,0.42,0.78
"It's basically group policy... but for phones and tablets.",014-group-policy,wired-eliv3,0.58,0.42,0.78
"This is essential because mobile devices are portable. And portable means easy to lose.",015-portable,wired-eliv3,0.55,0.42,0.78
"If a laptop gets stolen... that's bad. If a phone with company email, contacts, and files gets stolen... that can be even worse.",016-stolen,wired-eliv3,0.55,0.40,0.78
"MDM helps protect against that risk.",017-protect-risk,wired-eliv3,0.58,0.42,0.78
"Let's talk about ownership models first. Because not every company handles devices the same way.",018-ownership-intro,wired-eliv3,0.58,0.45,0.78
"One common model is called BYOD. That stands for Bring Your Own Device.",019-byod-intro,wired-eliv3,0.55,0.42,0.78
"This is when employees use their personal phones for work.",020-byod-explain,wired-eliv3,0.55,0.42,0.78
"It's convenient. They already have a device. They don't want to carry two phones. And the company saves money by not buying hardware.",021-byod-pros,wired-eliv3,0.55,0.42,0.78
"But there's a big problem. How do you protect company data on a device the company doesn't own?",022-byod-problem,wired-eliv3,0.58,0.40,0.78
"You can't just take over someone's personal phone completely. That would invade their privacy.",023-privacy,wired-eliv3,0.55,0.42,0.78
"So MDM solves this with something called containerization.",024-containerization,wired-eliv3,0.58,0.42,0.78
"Containerization creates a separate, secure area on the device. Think of it like a work-only partition.",025-container-explain,wired-eliv3,0.55,0.40,0.78
"Inside that partition lives... corporate email, work apps, company documents, and secure authentication.",026-inside-partition,wired-eliv3,0.55,0.42,0.78
"Outside that partition is the user's personal life. Photos. Social media. Personal messages.",027-outside-partition,wired-eliv3,0.55,0.42,0.78
"The company controls the work side. The employee controls the personal side.",028-two-sides,wired-eliv3,0.55,0.42,0.78
"If the employee leaves the company... IT can wipe just the corporate container without touching personal data.",029-selective-wipe,wired-eliv3,0.58,0.40,0.78
"This balance is extremely important for BYOD environments.",030-byod-balance,wired-eliv3,0.55,0.42,0.78
"Another ownership model is called COPE. That stands for Corporate Owned, Personally Enabled.",031-cope-intro,wired-eliv3,0.58,0.42,0.78
"In this model... the company buys the phone. The device belongs to the organization. Then it's assigned to an employee.",032-cope-explain,wired-eliv3,0.55,0.40,0.78
"Because the company owns it... IT has full control. They can enforce stricter policies. They can install software. They can monitor usage.",033-cope-control,wired-eliv3,0.55,0.42,0.78
"But many companies still allow light personal use. This is similar to how many companies treat laptops.",034-cope-personal,wired-eliv3,0.55,0.42,0.78
