text,filename,voice,exaggeration,cfg_weight,temperature
"Welcome back to WiredWorkshop. In our last lesson, we gave our programs a brain. Using if, elif, and else, we unlocked the power of conditional logic, allowing our code to make decisions and follow different paths based on the information it's given. Your programs can now react and respond, which is a massive leap from a simple script that runs in a straight line.",001-intro,wired-eliv3,0.58,0.45,0.75
"But there's another fundamental limitation we need to overcome. What happens when you need to do the same thing more than once? Imagine you need to print out the names of a hundred users, or process a thousand data points, or simply ask a question until you get a valid answer. Our current approach would be to copy and paste the same lines of code over and over again. This isn't just tedious; it's messy, inefficient, and a recipe for errors.",002-problem,wired-eliv3,0.58,0.45,0.75
"Today, we're going to solve this problem by learning about loops. Loops are the foundation of automation in programming. They are structures that allow you to repeat a block of code as many times as you need, without rewriting it. This is how programmers can process millions of items or run game simulations sixty times per second. By the end of this lesson, you will understand the two main types of loops in Python, and you will be able to write code that automates repetitive tasks, making your programs dramatically more powerful and efficient.",003-loops-overview,wired-eliv3,0.60,0.42,0.75
"The for Loop: Repeating for Each Item — Let's start with the most common type of loop, the for loop. A for loop is perfect for situations where you have a collection of items—like a list of names, a series of tasks, or a range of numbers—and you want to do something for each and every one of them. The logic is right in the name: for each item in this collection, do this action.",004-for-intro,wired-eliv3,0.58,0.45,0.75
"Imagine you have a list of planets in our solar system. If you wanted to print a message about each one, you could set up a for loop. You would tell Python: For each planet in my list of planets, I want you to run the following block of code. Inside that block, you could have a print statement that says, Welcome to the planet, followed by the name of the current planet the loop is looking at.",005-for-planets,wired-eliv3,0.58,0.45,0.75
"When the program runs, the loop starts with the first item in the list, Mercury. It runs your code block for Mercury. Then, it automatically moves to the next item, Venus, and runs the exact same code block, but this time with Venus's information. It continues this process, one by one, through every single item in the list until it reaches the end. It’s an elegant, powerful way to process an entire collection of data with just a few lines of code.",006-for-walkthrough,wired-eliv3,0.58,0.45,0.75
"But you don't always have a list of items to go through. Sometimes, you just want to repeat an action a specific number of times. Maybe you want to run a task five times, or a hundred times. For this, we can use a for loop in combination with a special function called range.",007-range-intro,wired-eliv3,0.58,0.45,0.75
"The range function generates a sequence of numbers for us. If you want to do something ten times, you can simply tell your for loop to work with a range of ten. The loop will then execute your block of code once for each number in that sequence, effectively running it exactly ten times. For example, if we wanted to launch a rocket, we could set up a for loop with a range that counts down from ten to one. Each time the loop runs, it would print the next number in the countdown, until it finally reaches the end and we can print Liftoff! The for loop is your go-to tool when you know in advance how many times you need to repeat something.",008-range-usage,wired-eliv3,0.58,0.45,0.75
"The while Loop: Repeating While a Condition is True — That brings us to the second major type of loop: the while loop. If a for loop is for when you know the number of repetitions, a while loop is for when you don't. A while loop keeps running as long as a certain condition remains true. It’s a bit like an if statement that repeats.",009-while-intro,wired-eliv3,0.58,0.45,0.75
"The logic is simple: at the beginning of the loop, Python checks a condition. If the condition is True, it runs the code inside the loop's block. Once it's finished, it goes right back to the top and checks the condition again. It will repeat this cycle over and over and over until the condition finally becomes False. As soon as that happens, the loop stops, and the program continues on.",010-while-check,wired-eliv3,0.58,0.45,0.75
"An analogy would be stirring a pot of soup. You continue to stir while the soup is not yet boiling. The condition is is the soup not boiling? As long as that's true, you keep stirring. The moment it starts to boil, the condition becomes false, and you stop stirring. You didn't know if it would take one minute or five minutes, you just knew the condition for stopping.",011-soup-analogy,wired-eliv3,0.58,0.45,0.75
"This is incredibly useful for things like waiting for user input or running a game. The main game logic can run inside a while loop with a condition like while the player is still alive.",012-game-loop,wired-eliv3,0.58,0.45,0.75
"However, the while loop comes with a very important warning. Something inside your loop must eventually cause the condition to become False. If you create a while loop where the condition is always True, you've created an infinite loop. The program will get stuck repeating the code forever, and you'll have to manually stop it. Forgetting to include a way for a while loop to end is a classic mistake, so it's something you always need to watch out for.",013-infinite-loop,wired-eliv3,0.58,0.45,0.75
"For instance, if we were making a countdown, we might start with a variable set to ten. Our while loop's condition would be while the number is greater than zero. Inside the loop, after printing the number, we would have to make sure we subtract one from it. This ensures that the number gets smaller with each repetition, and will eventually reach zero, causing the condition to become False and the loop to end gracefully.",014-countdown-example,wired-eliv3,0.58,0.45,0.75
"Putting It All Together: A Guessing Game — Let's imagine how we could combine these ideas to build a simple number guessing game. This is a perfect example that uses everything we’ve learned so far.",015-guessing-intro,wired-eliv3,0.58,0.45,0.75
"First, the program would secretly choose a random number between one and a hundred. Then, the main part of the game would begin, running inside a while loop. This loop will continue as long as the player has not guessed the correct number.",016-game-setup,wired-eliv3,0.58,0.45,0.75
"Inside the loop, on each turn, we would first ask the player to enter their guess. We’d then use our if, elif, and else statements to compare their guess to the secret number. If their guess is too low, we’ll print a message telling them to guess higher. If their guess is too high, we’ll print a message telling them to guess lower.",017-guess-logic,wired-eliv3,0.58,0.45,0.75
"And finally, if their guess is exactly equal to the secret number, we can print a congratulatory message, like You got it! But now we have a problem. The player has won, but the while loop's condition might still be true. We need a way to break out of the loop immediately. For this, Python gives us a special keyword, break. The break statement is an emergency exit that immediately terminates the loop it’s inside, regardless of the loop’s condition.",018-break-exit,wired-eliv3,0.58,0.45,0.75
